,kcat,MW,kcat_MW
ALATA_D2_num1,4681.349381,90.6332,51.6515954528804
ALATA_D2_num2,4681.349381,145.9788,32.06869340616583
CPPPGO,2750.764651,68.6453,40.072148435508325
GTHOr,1168424.727,97.545,11978.314900815009
DHORD5,159865.3806,36.7745,4347.180263497804
PFK_3,375752.201,139.3682,2696.111458711528
TRPS2,101953.3495,143.4143,710.9008620479269
LEUTAi_num1,65684.65039,204.5619,321.09914109127845
LEUTAi_num2,65684.65039,87.0756,754.3404856239865
SHK3Dr_reverse,271494.0803,62.4556,4346.993388903476
ALATA_L2_num1,4681.349381,145.9788,32.06869340616583
ALATA_L2_num2,4681.349381,90.6332,51.6515954528804
MAN6PI,61907781.6,42.85,1444755.6966161027
RBFK,7219.500001,34.7343,207.84930172768708
ACP1_FMN_num1,146713.8461,30.3709,4830.73751847986
ACP1_FMN_num2,146713.8461,27.122,5409.403661234422
ACP1_FMN_num3,146713.8461,30.196,4858.717912968605
RBFSb,2112.797999,70.3347,30.039198276242026
DMATT,2158.457144,32.1596,67.11703951541686
GRTT,28417.54286,32.1596,883.6410546151072
UPP3S,1029909.6,27.7979,37049.90664762446
UPPDC1,1199329.2,39.2481,30557.63718498475
TMDPP,518695.9999,94.4142,5493.834612801888
HCO3E_num1,12149915296.0,100.3871,121030643.33963227
HCO3E_num2,12149915296.0,47.5285,255634309.85619155
IMPC,24617.81365,57.3292,429.41142820761496
IMPD,29421.28236,208.0898,141.38743158001978
ECOAH4_num1,4002840.0,77.0722,51936.23641209152
ECOAH4_num2,4002840.0,159.1878,25145.394307855247
GLUTRS,3869.7523130000004,53.8157,71.90749749608386
TMPPP,3596400.0,23.0153,156261.26967712783
URIK1,526466.952,24.3531,21618.06718651835
URIK2,5767.38,24.3531,236.82323810931666
CYTDK1,526466.952,24.3531,21618.06718651835
CYTDK2,526466.952,24.3531,21618.06718651835
XPPT,52075.78877,67.8824,767.147136371136
HXPRT_num1,29510.152000000002,67.8824,434.72464143872344
HXPRT_num2,29510.152000000002,80.461,366.7634257590634
NDPK5_num1,664696.5401,23.586,28181.825663529213
