GO,ec,kcat
GO:0008897,2.7.8.7,2.8
GO:0008986,2.7.9.2,1570.0
GO:0004792,2.8.1.1,766.666667
GO:0016784,2.8.1.2,5310.0
GO:0018729,2.8.3.1,14.2
GO:0033608,2.8.3.16,5.0
GO:0008775,2.8.3.8,290.0
GO:0017057,3.1.1.31,14.3
GO:0008970,3.1.1.32,5158.0
GO:0052739,3.1.1.32,5158.0
GO:0052740,3.1.1.32,5158.0
GO:0004623,3.1.1.4,187.0
GO:0102567,3.1.1.4,187.0
GO:0102568,3.1.1.4,187.0
GO:0004622,3.1.1.5,1975.0
GO:0102545,3.1.1.5,1975.0
GO:0018738,3.1.2.12,116.0
GO:0004320,3.1.2.14,35.6
GO:0016295,3.1.2.14,35.6
GO:0016296,3.1.2.14,35.6
GO:0016297,3.1.2.14,35.6
GO:0016290,3.1.2.2,183.0
GO:0102991,3.1.2.2,183.0
GO:0004416,3.1.2.6,3930.0
GO:0004035,3.1.3.1,28300.0
GO:0008877,3.1.3.10,145.0
GO:0042132,3.1.3.11,999.0
GO:0004805,3.1.3.12,24.0
GO:0004401,3.1.3.15,2140.0
GO:0008967,3.1.3.18,292.0
GO:0003993,3.1.3.2,40850.0
GO:0000121,3.1.3.21,833.0
GO:0008934,3.1.3.25,999.0
GO:0052832,3.1.3.25,999.0
GO:0052833,3.1.3.25,999.0
GO:0052834,3.1.3.25,999.0
GO:0008962,3.1.3.27,24.0
GO:0004647,3.1.3.3,1506.0
GO:0019143,3.1.3.45,1.5
GO:0008253,3.1.3.5,757.0
GO:0008254,3.1.3.6,176.0
GO:0008441,3.1.3.7,95.0
GO:0033883,3.1.3.74,19.4
GO:0004346,3.1.3.9,700.0
GO:0008663,3.1.4.16,72.0
GO:0004114,3.1.4.17,999.0
GO:0047389,3.1.4.2,220.0
GO:0047555,3.1.4.35,4400.0
GO:0008889,3.1.4.46,3.3
GO:0008832,3.1.5.1,4000.0
GO:0008893,3.1.7.2,6.0
GO:0000016,3.2.1.108,33.8
GO:0050081,3.2.1.122,128.0
GO:0004558,3.2.1.20,1278.0
GO:0032450,3.2.1.20,1278.0
GO:0090599,3.2.1.20,1278.0
GO:0004557,3.2.1.22,7659.0
GO:0052692,3.2.1.22,7659.0
GO:0004565,3.2.1.23,2700000.0
GO:0004555,3.2.1.28,999.0
GO:0031217,3.2.1.74,4945.0
GO:0008706,3.2.1.86,195.0
GO:0103047,3.2.1.86,195.0
GO:0008788,3.2.1.93,46.7
GO:0008477,3.2.2.1,62.0
GO:0008930,3.2.2.16,20.0
GO:0047724,3.2.2.2,48.9
GO:0045437,3.2.2.3,23.8
GO:0008714,3.2.2.4,62.0
GO:0061810,3.2.2.5,8390.0
GO:0050135,3.2.2.6,57.9
GO:0061809,3.2.2.6,57.9
GO:0047622,3.2.2.7,0.06
GO:0050263,3.2.2.8,344.0
GO:0008782,3.2.2.9,7.1
GO:0008908,3.3.2.1,217.0
GO:0016805,3.4.13.18,33300.0
GO:0102008,3.4.13.18,33300.0
GO:0103046,3.4.13.18,33300.0
GO:0009002,3.4.16.4,350.0
GO:0036374,3.4.19.13,12.45
GO:0004067,3.5.1.1,5721.0
GO:0008759,3.5.1.108,3.3
GO:0103117,3.5.1.108,3.3
GO:0004046,3.5.1.14,21300.0
GO:0008777,3.5.1.16,3800.0
GO:0009014,3.5.1.18,370.0
GO:0008936,3.5.1.19,135.7
GO:0004359,3.5.1.2,6249.0
GO:0008448,3.5.1.25,2610.0
GO:0047419,3.5.1.25,2610.0
GO:0019159,3.5.1.42,4.1
GO:0008884,3.5.1.78,5.1
GO:0004151,3.5.2.3,195.0
GO:0004038,3.5.2.5,3423.0
GO:0008783,3.5.3.11,3.0
GO:0004131,3.5.4.1,186.0
GO:0102480,3.5.4.1,186.0
GO:0003937,3.5.4.10,8.6
GO:0008829,3.5.4.13,999.0
GO:0003934,3.5.4.16,43.21666666666667
GO:0004635,3.5.4.19,9.9
GO:0000034,3.5.4.2,200.0
GO:0003935,3.5.4.25,432.0
GO:0008892,3.5.4.3,649.0
GO:0004000,3.5.4.4,250.0
GO:0004477,3.5.4.9,8700.0
GO:0047427,3.5.5.4,19.4
GO:0004342,3.5.99.6,1800.0
GO:0004427,3.6.1.1,6290.0
GO:0004309,3.6.1.11,1550.0
GO:0047840,3.6.1.12,9.3
GO:0047631,3.6.1.13,129.1
GO:0017111,3.6.1.15,5096.0
GO:0000210,3.6.1.22,1492.0
GO:0004170,3.6.1.23,65.0
GO:0050355,3.6.1.25,7900.0
GO:0016887,3.6.1.3,999.0
GO:0008894,3.6.1.40,1.1
GO:0008803,3.6.1.41,250.0
GO:0004382,3.6.1.42,3830.0
GO:0008768,3.6.1.45,1492.0
GO:0102485,3.6.1.5,3019.0
GO:0102486,3.6.1.5,3019.0
GO:0102487,3.6.1.5,3019.0
GO:0102488,3.6.1.5,3019.0
GO:0102489,3.6.1.5,3019.0
GO:0102490,3.6.1.5,3019.0
GO:0102491,3.6.1.5,3019.0
GO:0017110,3.6.1.6,238.0
GO:0045134,3.6.1.6,238.0
GO:0035870,3.6.1.66,1009.0
GO:0036222,3.6.1.66,1009.0
GO:0047693,3.6.1.8,1.9166666666666667
GO:0004551,3.6.1.9,960000.0
GO:0035529,3.6.1.9,960000.0
GO:0036218,3.6.1.9,960000.0
GO:0047429,3.6.1.9,960000.0
GO:0003678,3.6.4.12,7980.0
GO:0003724,3.6.4.13,22.2
GO:0018771,3.7.1.14,8.0
GO:0052823,3.7.1.14,8.0
GO:0004068,4.1.1.11,7.03
