,kcat,MW,kcat_MW
EAR181x,24255.17127,111.4558,217.62143621058758
AGM3PA,24213.93207,20.5362,1179.0853259122916
CTECOAI7,24212.59768000001,159.1878,152.10083737572856
LPLIPAL2ATE141,24162.76916,38.9783,619.9031040348093
3OXCOAT,24123.2729,42.2765,570.6071434484878
PSD160,24120.0,35.9344,671.2231176811079
TYRTA_reverse,24103.01587,87.0756,276.80562488228617
SEPHCHCS,24093.615719999998,122.7341,196.30742980149768
OHPHM,24071.53907,53.1109,453.23161667379003
ALDD19xr,24043.862390000002,214.7965,111.93786858724421
6D6SFK,24036.902319999997,31.728,757.5927357539081
AST,24033.07158,38.4559,624.9514789668166
PYK4,23979.27789,205.4286,116.72804025340193
CLPNS161pp,23978.23534,47.6335,503.3901632254611
XYLI1,23950.64821,198.968,120.3743728137188
HACD7_reverse,23943.32058,77.0722,310.6609202799453
CRNCBCT_reverse,23925.28542,90.2535,265.089834964849
TRPAS2,23909.43164,211.0938,113.26449019345905
PYK6,23858.79456,205.4286,116.14154290103714
DASYN141,23858.220409999998,31.4538,758.5163131322763
HACD8_reverse,23805.65727,77.0722,308.874759900457
CYTDH,23757.87457,32.5608,729.6465249625318
ALDD3y,23752.9732,36.502,650.7307325625993
AP4AS,23738.36358,115.6531,205.25488361314999
ACACT8r,23737.87625,46.5305,510.15734303306436
NMNDA,23640.84149,35.164,672.302397053805
AGM3PApp,23614.90817,31.072,760.0060559346034
PETNT161pp,23599.624219999998,63.8044,369.87455755402436
R5PPpp,23570.470540000002,98.8772,238.38125007585168
E4PP,23567.45492,20.7798,1134.15215353372
5DKGR_reverse,23521.17739,27.07,868.9020092353159
AAMYL,23490.41652,56.6394,414.7363234780029
PSD140,23485.34589,35.9344,653.5616537356963
NDPK3_reverse,23476.2708,23.586,995.3476977868228
ACP1_FMN,23467.23572,27.122,865.2472428287
PGSA161,23465.32539,20.7006,1133.5577418045855
METS,1116.0,84.6735,13.180038618930359
URACPAH,23399.769659999998,25.2087,928.2418236561186
TPRDCOAS,23356.11375,31.6444,738.0804739543173
AMPNTAT,23261.955019999998,16.57,1403.8596873868435
IPPMIb,23255.094569999997,72.3693,321.3392221563564
O16AT,23247.17566,21.6751,1072.5291075935056
PSP_Lpp,23226.39009,98.8772,234.901373521904
ALLK,23208.86213,33.8209,686.2284010774403
AHGDx,23135.45055,176.7031,130.92837958134294
FMNRx,23127.606,26.242,881.3202499809465
DHACOAH,23116.399980000002,27.2374,848.7006828845633
MMCD,22988.03684,175.0355,131.33356856180606
NO3R2bpp,22948.30134,132.4391,173.27436791702755
RNDR1b,22837.66644,242.982,93.98912857742548
DMQMT,22755.67142,53.1109,428.4557674601635
DOGULNR,22733.58578,73.1454,310.79993793184536
LCADi,22726.49816,209.0912,108.6917964983701
EDTXS2,22707.38756,37.4104,606.9806139469238
PDXPP,22698.00031,30.2013,751.5570624443318
LPLIPAL2E160,22686.53673,38.9783,582.0299174155876
ASAD_reverse,22680.0,80.0358,283.3731904972525
2AGPEAT180,22628.369880000002,80.7,280.40111375464693
FEENTERES,22628.10623,45.6519,495.6662533213295
PSSA180,22589.431230000002,52.8018,427.8155523107167
ACNML,22534.19094,130.3739,172.84280780125468
ALATA_L2,22488.04715,90.6332,248.1215178323175
DTMPK_reverse,22465.87078,23.7831,944.614906383104
CYTK1_reverse,22437.44545,24.7463,906.6989994463817
GLTPD,22429.04508,74.7803,299.93253677773424
FALDH2_reverse,22410.33031,78.718,284.69130707080967
HEPT3,22408.296609999998,38.7307,578.5667857797561
OCTNLL,22382.26906,37.9259,590.1578884087128
PYROX,22380.99194,59.9682,373.21433593137687
SHGO,22357.77247,46.082,485.1736571763378
AMPN,22311.571369999998,323.9695,68.86935767101532
UDCPDPpp,22302.93351,22.3986,995.7289076102973
GNP,22285.817619999998,20.7798,1072.4750777197085
ALAGLUE_reverse,22236.80583,34.674,641.3106601488148
ILETA,22229.68578,204.5619,108.66972676730124
PACCOAE,22170.16111,131.963,168.00285769495997
RBP4E_reverse,22153.75973,25.2777,876.4151694972252
ALDD2y,22093.1682,29.41,751.212791567494
CRNCBCT,22065.27,90.2535,244.48104505642442
FACOAE141,22065.15168000001,127.8653,172.56559582623277
O16GALFT,22063.755869999997,37.7572,584.3589002892162
KAS15,22049.2422,67.0302,328.9448964794973
NDPK1,22045.90831,23.586,934.7031421182056
FACOAL161t2pp,21999.510440000002,60.7731,361.99421191283653
ILETA_reverse,21960.0,204.5619,107.35136894993641
GTPDPK,21923.85937,83.8756,261.38542520113117
OBTFL,21920.42484,114.1398,192.04891580325184
