,MW
XTSNtex_num2,116.7646
XTSNtex_num3,117.9984
XTSNtex_num4,121.1028
GNK_num1,39.0861
GNK_num2,21.0038
HMBS,33.8514
RMK,54.0684
FHL_num1,467.5696
FHL_num2,311.639
MEPCT,51.4739
GLUDy,291.485
ZN2abcpp,76.839
GLYCLTDy_num1,35.343
GLYCLTDy_num2,70.7902
LYSDC_num1,805.8938
LYSDC_num2,812.592
DAAD,95.2135
UREAtpp,119.1185
XANt2pp_num1,48.8675
XANt2pp_num2,49.1077
XANt2pp_num3,51.7574
GLYC3Pabcpp,192.2574
PPPNt2rpp,41.5922
PTRCORNt7pp,46.4943
SPMDabcpp_num1,185.0943
SPMDabcpp_num2,142.416
HG2tex_num1,41.2193
HG2tex_num2,116.7646
HG2tex_num3,117.9984
HG2tex_num4,121.1028
NTPP5_num1,17.3056
NTPP5_num2,60.8239
NTD3_num1,45.4156
NTD3_num2,26.9001
NTD3_num3,20.2552
GLYOX,28.434
DADNtex,33.5886
DHAtex_num1,41.2193
DHAtex_num2,116.7646
DHAtex_num3,117.9984
DHAtex_num4,121.1028
ETOHtex_num1,41.2193
ETOHtex_num2,116.7646
ETOHtex_num3,117.9984
ETOHtex_num4,121.1028
MTRPOX,40.9015
AGM4PCPpp,21.0396
GTPDPDP,109.741
RNDR2_num1,270.3885
RNDR2_num2,274.1366
XAND,129.7979
HACD3_num1,159.1859
HACD3_num2,77.0713
ACACtex_num1,41.2193
ACACtex_num2,116.7646
ACACtex_num3,117.9984
ACACtex_num4,121.1028
ACNAMtex_num1,117.9984
ACNAMtex_num2,27.8877
ACNAMtex_num3,121.1028
ARBTNabcpp,161.1923
NNDMBRT,73.9732
THRA2_num1,90.6321
THRA2_num2,145.9772
ASO3t8pp,90.9937
H2Stex_num1,116.7646
H2Stex_num2,41.2193
H2Stex_num3,121.1028
H2Stex_num4,117.9984
PPK,160.861
ABUTD,203.3176
E4PD_num1,149.1957
E4PD_num2,142.1283
IG3PS,50.1067
DADK,23.5857
DUTPDP_num1,48.8594
DUTPDP_num2,16.3705
NTP5,39.1928
FORt2pp_num1,154.952
FORt2pp_num2,30.5643
MTAN,48.7074
DPR_num1,33.8704
DPR_num2,216.2737
THRD_L_num1,224.7783
THRD_L_num2,140.9281
4PEPTtex_num1,41.2193
4PEPTtex_num2,116.7646
4PEPTtex_num3,117.9984
4PEPTtex_num4,121.1028
NAMNPP,45.8967
SELNPS,73.3737
CRNCAR,28.1899
GALabcpp_num1,163.2262
GALabcpp_num2,160.2394
GLYCLTt2rpp_num1,59.1674
GLYCLTt2rpp_num2,58.9194
GUAt2pp,48.8675
HPPPNt2rpp,41.5503
ANHMK,39.4958
DHFR_num1,26.348
DHFR_num2,17.9992
PRAIi,49.4917
TYRTA_num1,87.1457
TYRTA_num2,87.0746
TYRTA_num3,204.5595
SHKK_num1,19.5378
SHKK_num2,19.1506
SADH,98.5959
GLUSy,861.2391
GUAPRT_num1,80.4601
GUAPRT_num2,67.8815
PDH,4586.5556
DMSOR2pp,129.2489
HYD3pp_num1,482.9282
HYD3pp_num2,181.7461
NO3R1pp_num1,250.9602
NO3R1pp_num2,474.5497
AACPS5,89.3385
MANptspp,295.8814
NTD8_num1,25.3985
NTD8_num2,26.9001
NTD8_num3,45.4156
NTD8_num4,20.2552
GALCTD,56.4009
MLTG4,69.0402
UDPGDC,445.7279
PUNP4_num1,179.0058
PUNP4_num2,155.6978
AMAOTr,94.6702
ARGORNt7pp,49.5009
NTD11pp_num1,60.8232
NTD11pp_num2,104.4129
DKGLCNR2x,70.7902
ACGS,295.1676
PDE1_num1,180.5187
PDE1_num2,30.9376
MCITD,53.9511
CU2tex_num1,116.7646
CU2tex_num2,41.2193
CU2tex_num3,121.1028
CU2tex_num4,117.9984
GLCATr,60.2873
ALAALAr_num1,39.3153
ALAALAr_num2,65.6787
CLtex_num1,41.2193
CLtex_num2,116.7646
CLtex_num3,117.9984
CLtex_num4,121.1028
CELBpts_num1,238.2922
CELBpts_num2,208.7471
ACACT1r_num1,46.53
ACACT1r_num2,161.4081
ACACT1r_num3,81.7516
MALTptspp,211.1186
CD2abcpp,76.839
G2PPpp_num1,104.4129
G2PPpp_num2,98.876
Kt3pp_num1,39.168
Kt3pp_num2,66.4104
Kt3pp_num3,135.5901
Kt3pp_num4,44.3204
AGM3PApp_num1,45.6339
AGM3PApp_num2,47.9846
AGM3PApp_num3,31.4117
AGM3PApp_num4,31.0721
SUCOAS,142.3386
NTP1_num1,61.9855
NTP1_num2,39.1928
GALKr,41.4416
PANTS,63.1946
YUMPS,98.7285
DHQS,38.8805
PGCD,176.701
ADSL1r,206.1686
SERD_D,47.9
AICART,57.3286
FRUpts2pp,295.8814
G6Pt6_2pp,50.606
PROtex_num1,116.7646
PROtex_num2,41.2193
PROtex_num3,121.1028
PROtex_num4,117.9984
SBTtex_num1,41.2193
SBTtex_num2,116.7646
SBTtex_num3,117.9984
SBTtex_num4,121.1028
PFK_num1,139.3667
PFK_num2,64.9112
PGM_num1,57.1121
PGM_num2,56.1932
TPI,53.943
RPI_num1,45.7203
RPI_num2,32.1463
PERD,82.7343
PYDAMK,61.694
AKGtex_num1,41.2193
AKGtex_num2,116.7646
AKGtex_num3,117.9984
AKGtex_num4,121.1028
ALLTNtex_num1,41.2193
ALLTNtex_num2,116.7646
ALLTNtex_num3,117.9984
ALLTNtex_num4,121.1028
ASNtex_num1,41.2193
ASNtex_num2,116.7646
ASNtex_num3,117.9984
ASNtex_num4,121.1028
FE3HOXabcpp,161.1923
FADRx2,530.1519
PDE4,180.5187
AGM4PH,37.5943
AM4PA,20.5359
ATHRDHr,108.9945
LSERDHr,108.9945
DSERDHr,108.9945
OBTFL_num1,198.9165
OBTFL_num2,213.2005
OBTFL_num3,114.1385
THRt2pp_num1,31.1681
THRt2pp_num2,22.4738
G6PP_num1,29.7074
G6PP_num2,30.4125
G6PP_num3,23.0072
MMCD,175.0335
GLNS,622.838
TYMtex_num1,41.2193
TYMtex_num2,116.7646
TYMtex_num3,117.9984
TYMtex_num4,121.1028
GTHS,142.242
CMPtex_num1,41.2193
CMPtex_num2,116.7646
CMPtex_num3,117.9984
CMPtex_num4,121.1028
DUMPtex_num1,41.2193
DUMPtex_num2,116.7646
DUMPtex_num3,117.9984
DUMPtex_num4,121.1028
XMPtex_num1,41.2193
XMPtex_num2,116.7646
XMPtex_num3,117.9984
XMPtex_num4,121.1028
3PEPTtex_num1,41.2193
3PEPTtex_num2,116.7646
3PEPTtex_num3,117.9984
3PEPTtex_num4,121.1028
ANHGMtex_num1,41.2193
ANHGMtex_num2,116.7646
ANHGMtex_num3,117.9984
ANHGMtex_num4,121.1028
UDPKAAT,42.237
ULA4NFT,445.7279
UPLA4FNT,36.3387
UPLA4FNF,33.1114
ULA4Ntppi,26.2768
HEPT1,35.5433
FALDtex_num1,41.2193
FALDtex_num2,116.7646
FALDtex_num3,117.9984
FALDtex_num4,121.1028
ALR2_num1,30.9863
ALR2_num2,31.1092
ALR2_num3,29.4364
ALR2_num4,38.8317
AMALT2,78.5026
MLTP1,181.0425
HEPT2,39.0417
CYSDtex_num1,41.2193
CYSDtex_num2,116.7646
CYSDtex_num3,117.9984
CYSDtex_num4,121.1028
HXAND,129.7979
G3PItex_num1,41.2193
G3PItex_num2,116.7646
G3PItex_num3,117.9984
G3PItex_num4,121.1028
G3PGtex_num1,41.2193
G3PGtex_num2,116.7646
G3PGtex_num3,117.9984
G3PGtex_num4,121.1028
G3PEtex_num1,121.1028
G3PEtex_num2,117.9984
G3PEtex_num3,41.2193
G3PEtex_num4,116.7646
G3PCtex_num1,41.2193
G3PCtex_num2,116.7646
G3PCtex_num3,117.9984
G3PCtex_num4,121.1028
MOAT3C,32.9197
RHAT1,36.73
GLCabcpp,163.2262
GALT1,40.8254
GLCTR2,39.4227
UDPGPpp,60.8232
PPPGO,84.9042
DAMPtex_num1,41.2193
DAMPtex_num2,116.7646
DAMPtex_num3,117.9984
DAMPtex_num4,121.1028
DCMPtex_num1,41.2193
DCMPtex_num2,116.7646
DCMPtex_num3,117.9984
DCMPtex_num4,121.1028
DGMPtex_num1,41.2193
DGMPtex_num2,116.7646
DGMPtex_num3,117.9984
DGMPtex_num4,121.1028
DTMPtex_num1,41.2193
DTMPtex_num2,116.7646
DTMPtex_num3,117.9984
DTMPtex_num4,121.1028
GMPtex_num1,117.9984
GMPtex_num2,121.1028
GMPtex_num3,116.7646
GMPtex_num4,41.2193
IMPtex_num1,41.2193
IMPtex_num2,116.7646
IMPtex_num3,117.9984
IMPtex_num4,121.1028
UMPtex_num1,121.1028
UMPtex_num2,117.9984
UMPtex_num3,41.2193
UMPtex_num4,116.7646
G1Ptex_num1,41.2193
G1Ptex_num2,116.7646
G1Ptex_num3,117.9984
G1Ptex_num4,121.1028
ADNK1,23.5857
CUt3,773.0013
ZN2t3pp_num1,65.8537
ZN2t3pp_num2,34.678
SKMtex_num1,41.2193
SKMtex_num2,116.7646
SKMtex_num3,117.9984
SKMtex_num4,121.1028
MNt2pp,44.1931
MNtex_num1,41.2193
MNtex_num2,116.7646
MNtex_num3,117.9984
MNtex_num4,121.1028
GAL1Ptex_num1,41.2193
GAL1Ptex_num2,116.7646
GAL1Ptex_num3,117.9984
GAL1Ptex_num4,121.1028
O2Stex_num1,116.7646
O2Stex_num2,41.2193
O2Stex_num3,121.1028
O2Stex_num4,117.9984
HEPK1,30.872
HEPT3,38.7302
HEPK2,27.4606
ALDD3y_num1,36.5014
ALDD3y_num2,225.2228
ALDD3y_num3,84.193
R5PP_num1,23.0072
R5PP_num2,20.7796
R5PP_num3,30.4125
R5PP_num4,27.1628
R5PP_num5,29.7208
CYSSADS_num1,86.4673
CYSSADS_num2,88.8665
CPPPGO2,52.7284
AGM3PH,37.5943
HOMt2pp_num1,31.1681
HOMt2pp_num2,22.4265
HOMtex_num1,41.2193
HOMtex_num2,116.7646
HOMtex_num3,117.9984
HOMtex_num4,121.1028
SO2tex_num1,41.2193
SO2tex_num2,116.7646
SO2tex_num3,117.9984
SO2tex_num4,121.1028
LDH_D2,64.6116
SHCHF,99.9016
SUCBZL,200.7363
CYSDDS,70.3058
CYStpp_num1,21.248
CYStpp_num2,32.3238
ACSERtpp_num1,21.248
ACSERtpp_num2,32.3238
ACSERtex_num1,116.7646
ACSERtex_num2,41.2193
ACSERtex_num3,121.1028
ACSERtex_num4,117.9984
NTP10_num1,39.1928
NTP10_num2,36.4249
PRAIS,73.7072
GDMANE,72.2814
GPDDA4,27.4093
LPLIPAL2E140,38.9778
LPLIPAL2E180,38.9778
LPLIPAL2G161,38.9778
LPLIPAL2G181,38.9778
2AGPE120tipp,41.6551
AACPS6,89.3385
AACPS7,89.3385
G3PGabcpp,192.2574
G3PIabcpp,192.2574
G3PSabcpp,192.2574
QMO2,23.0646
QMO3,23.0646
LPLIPAL2E141,38.9778
LPLIPAL2E161,38.9778
LPLIPAL2E181,38.9778
LPLIPAL2G180,38.9778
LPLIPAL2G141,38.9778
2AGPA120tipp,41.6551
2AGPG180tipp,41.6551
IPDDI,20.508
2AGPGAT180,80.699
2AGPGAT181,80.699
LPLIPAL2ATG120,38.9778
PLIPA1E140pp,66.3254
PLIPA1E160pp,66.3254
PLIPA1E161pp,66.3254
AACPS8,89.3385
AACPS9,89.3385
HXCT,92.9707
2AGPEAT160,80.699
DURADx,178.7947
ECOAH7_num1,77.0713
ECOAH7_num2,159.1859
G1PPpp_num1,91.3648
G1PPpp_num2,98.876
GALCTND,42.5224
GCALDD,209.0887
HISTP,80.555
LDH_D,146.1375
AMALT4,78.5026
NTD11_num1,26.9001
NTD11_num2,25.3985
ORNDC_num1,158.8304
ORNDC_num2,164.8297
UPP3MT,99.9016
KAS15,67.0295
ALAALAtex_num1,41.2193
ALAALAtex_num2,116.7646
ALAALAtex_num3,117.9984
ALAALAtex_num4,121.1028
FACOAL181t2pp_num1,124.6625
FACOAL181t2pp_num2,62.7586
T2DECAI,37.9377
3OAS161,85.2257
EAR141y,111.4545
EAR161x,111.4545
DASYN160,31.4534
DASYN161,31.4534
DASYN181,31.4534
CDAPPA161,28.4504
PGSA180,20.7004
PSSA140,52.8011
2AGPGAT141,80.699
FACOAE180,127.8637
FACOAE100,127.8637
FACOAE80,127.8637
FACOAE60,127.8637
PLIPA1E120pp,66.3254
MALtex_num1,41.2193
MALtex_num2,116.7646
MALtex_num3,117.9984
MALtex_num4,121.1028
NO3tex_num1,117.9984
NO3tex_num2,41.2193
NO3tex_num3,116.7646
NO3tex_num4,121.1028
3OAS141,85.2257
3OAR121,102.2401
CFAS160G,87.817
URAt2pp_num1,90.1191
URAt2pp_num2,45.5569
FACOAE141,127.8637
FACOAE161,127.8637
TTDCEAtexi,48.541
HDCEAtexi,48.541
ALAALAD,21.2128
2AGPEAT180,80.699
2AGPEAT181,80.699
2AGPGAT140,80.699
PLIPA1E181pp,66.3254
PLIPA1G180pp,66.3254
PLIPA1G181pp,66.3254
ALAALAabcpp_num1,203.5016
ALAALAabcpp_num2,197.6756
HEXt2rpp,47.5272
G3PEabcpp,192.2574
G3PCabcpp,192.2574
2AGPGAT161,80.699
AMPTASEPG_num1,329.2752
AMPTASEPG_num2,277.0777
AMPTASEPG_num3,98.9177
AMPTASEPG_num4,105.8295
PROGLYabcpp,203.5016
GTHRDabcpp,192.8866
2AGPG140tipp,41.6551
2AGPG160tipp,41.6551
2AGPG141tipp,41.6551
2AGPG161tipp,41.6551
2AGPG181tipp,41.6551
2AGPEAT140,80.699
2AGPEAT120,80.699
2AGPEAT161,80.699
2AGPEAT141,80.699
2AGPGAT160,80.699
LPLIPAL2ATG140,38.9778
LPLIPAL2ATG141,38.9778
LPLIPAL2ATG160,38.9778
LPLIPAL2ATG180,38.9778
LPLIPAL2ATG161,38.9778
LPLIPAL2ATG181,38.9778
CLPNS180pp_num1,54.8217
CLPNS180pp_num2,47.6329
CLPNS181pp_num1,54.8217
CLPNS181pp_num2,47.6329
PG161abcpp,128.92
PGP120abcpp,128.92
PGP161abcpp,128.92
PGP181abcpp,128.92
PA120abcpp,128.92
PLIPA1G120pp,66.3254
CLPNS120pp_num1,47.6329
CLPNS120pp_num2,54.8217
ALPATE160pp,82.0353
ALPATG160pp,82.0353
2AGPGAT120,80.699
LPLIPAL2ATE120,38.9778
LPLIPAL2ATE140,38.9778
LPLIPAL2ATE160,38.9778
LPLIPAL2ATE180,38.9778
LPLIPAL2ATE141,38.9778
LPLIPAL2ATE161,38.9778
LPLIPAL2ATE181,38.9778
FACOAL141t2pp_num1,62.7586
FACOAL141t2pp_num2,124.6625
FACOAL161t2pp_num1,124.6625
FACOAL161t2pp_num2,62.7586
PA160abcpp,128.92
PA181abcpp,128.92
PGPP140pp_num1,19.4179
PGPP140pp_num2,29.0209
PGPP141pp_num1,19.4179
PGPP141pp_num2,29.0209
PGPP160pp_num1,19.4179
PGPP160pp_num2,29.0209
PGPP180pp_num1,19.4179
PGPP180pp_num2,29.0209
PLIPA1E180pp,66.3254
PLIPA1G140pp,66.3254
PLIPA1G161pp,66.3254
CLPNS160pp_num1,47.6329
CLPNS160pp_num2,54.8217
CLPNS161pp_num1,54.8217
CLPNS161pp_num2,47.6329
PG160abcpp,128.92
PGP140abcpp,128.92
PAPA120pp,29.0209
PAPA140pp,29.0209
PAPA141pp,29.0209
PAPA160pp,29.0209
PAPA161pp,29.0209
PAPA180pp,29.0209
HPYRI,58.7542
TPRDCOAS,31.6441
GAMptspp,295.8814
GSNt2pp,46.3887
GSNtex_num1,41.2193
GSNtex_num2,116.7646
GSNtex_num3,117.9984
GSNtex_num4,121.1028
FORtex_num1,41.2193
FORtex_num2,116.7646
FORtex_num3,117.9984
FORtex_num4,121.1028
D_LACt2pp_num1,59.1674
D_LACt2pp_num2,58.9194
RIBtex_num1,41.2193
RIBtex_num2,116.7646
RIBtex_num3,117.9984
RIBtex_num4,121.1028
FLVRx,26.2417
THMtex_num1,41.2193
THMtex_num2,116.7646
THMtex_num3,117.9984
THMtex_num4,121.1028
XYLUtex_num1,41.2193
XYLUtex_num2,116.7646
XYLUtex_num3,117.9984
XYLUtex_num4,121.1028
ALLtex_num1,41.2193
ALLtex_num2,117.9984
ALLtex_num3,116.7646
ALLtex_num4,121.1028
GGPTRCO,47.169
34dhpactex_num1,41.2193
34dhpactex_num2,116.7646
34dhpactex_num3,117.9984
34dhpactex_num4,121.1028
MALTHXtexi,149.7349
HYD1pp_num1,181.7461
HYD1pp_num2,482.9282
HYD1pp_num3,232.2661
FE3DHBZStonex_num1,149.8669
FE3DHBZStonex_num2,141.8026
23DAPPAtex_num1,41.2193
23DAPPAtex_num2,116.7646
23DAPPAtex_num3,117.9984
23DAPPAtex_num4,121.1028
ECAP3pp,135.9644
FEOXAMtonex,150.0891
FMNRx_num1,42.5061
FMNRx_num2,26.2417
PHEt2rpp_num1,50.6767
PHEt2rpp_num2,49.6895
DHBS,118.2229
MDDCP1pp_num1,41.8486
MDDCP1pp_num2,87.2168
MDDCP1pp_num3,88.8869
MDDCP1pp_num4,51.7977
MDDCP1pp_num5,43.3455
MDDCP1pp_num6,47.7518
GUI2,53.9866
OMBZLM,28.0729
GLYCK,38.7341
MLTG5,69.0402
GPDDA3,27.4093
2DOXG6PP_num1,23.0072
2DOXG6PP_num2,29.7074
2DOXG6PP_num3,24.33
2DOXG6PP_num4,30.3706
AGMH,37.5943
MPTG_num1,186.3192
MPTG_num2,128.5946
MPTG_num3,194.8884
MPTG_num4,195.5448
MPTG2_num1,194.8884
MPTG2_num2,195.5448
MPTG2_num3,128.5946
MPTG2_num4,186.3192
MCTP1App_num1,228.3674
MCTP1App_num2,229.0238
MCTP2App_num1,228.3674
MCTP2App_num2,229.0238
MCTP1Bpp_num1,36.0819
MCTP1Bpp_num2,67.8117
MELIBt3ipp,42.5377
GLCtex_copy2_num1,116.7646
GLCtex_copy2_num2,117.9984
GLCtex_copy2_num3,41.2193
GLCtex_copy2_num4,121.1028
NAt3pp_num1,44.3204
NAt3pp_num2,39.168
SFGTHi_num1,125.0357
SFGTHi_num2,31.4241
K2L4Aabcpp,128.92
DSBCGT,51.2428
DSBGGT,54.9893
DHNAOT4,33.5936
AMPMS2,70.8496
THIORDXi_num1,20.4693
THIORDXi_num2,29.4402
THIORDXi_num3,33.1883
PPPGO3,84.9042
PDX5POi,51.0897
PLIPA1A181pp,66.3254
LPLIPAL2A141,38.9778
HG2t3pp,65.8537
CYTBO3_4pp,143.9296
EAR141x,111.4545
EAR181x,111.4545
EAR181y,111.4545
G3PAT141,100.0198
G3PAT181,100.0198
DASYN140,31.4534
DASYN180,31.4534
DASYN141,31.4534
CDAPPA160,28.4504
CDAPPA141,28.4504
PGSA141,20.7004
5DOAN,48.7074
FACOAE120,127.8637
3OAR120,102.2401
3HAD80_num1,37.9377
3HAD80_num2,102.1965
3HAD120_num1,102.1965
3HAD120_num2,37.9377
EAR180x,111.4545
SO4t2pp,29.3046
EAR180y,111.4545
AGPAT120,27.4528
PGPP120_num1,19.4179
PGPP120_num2,29.0209
DAGK120,39.7336
PSSA180,52.8011
PSSA161,52.8011
PSSA141,52.8011
PSD160,35.934
PSD161,35.934
PSD180,35.934
COLIPAabcpp,128.92
PLIPA2A140pp,66.3254
PLIPA2A141pp,66.3254
PLIPA2A180pp,66.3254
GAM6Pt6_2pp,50.606
PPALtex_num1,41.2193
PPALtex_num2,116.7646
PPALtex_num3,117.9984
PPALtex_num4,121.1028
CA2tex_num1,41.2193
CA2tex_num2,116.7646
CA2tex_num3,117.9984
CA2tex_num4,121.1028
CUtex_num1,41.2193
CUtex_num2,116.7646
CUtex_num3,117.9984
CUtex_num4,121.1028
CU1Opp,56.5555
SUCDi,355.0713
LPLIPAL1E141pp,94.4875
LALDO2x,309.694
12PPDRtex_num1,41.2193
12PPDRtex_num2,116.7646
12PPDRtex_num3,117.9984
12PPDRtex_num4,121.1028
LPLIPAL1E160pp,94.4875
LPLIPAL1E180pp,94.4875
LPLIPAL1E181pp,94.4875
LPLIPAL1G160pp,94.4875
LPLIPAL1G161pp,94.4875
LPLIPAL1G120pp,94.4875
PLIPA2E140pp,66.3254
PLIPA2E160pp,66.3254
PLIPA2A161pp,66.3254
PLIPA2A181pp,66.3254
F6Ptex_num1,41.2193
F6Ptex_num2,116.7646
F6Ptex_num3,117.9984
F6Ptex_num4,121.1028
GAMAN6Ptex_num1,41.2193
GAMAN6Ptex_num2,116.7646
GAMAN6Ptex_num3,117.9984
GAMAN6Ptex_num4,121.1028
ALR4x,309.694
LPLIPAL1G141pp,94.4875
LPLIPAL1G180pp,94.4875
LPLIPAL1G181pp,94.4875
ACONTb_num1,186.994
ACONTb_num2,195.3521
GLCP2_num1,181.0425
GLCP2_num2,186.3428
F6Pt6_2pp,50.606
PLIPA2E141pp,66.3254
PLIPA2E181pp,66.3254
PLIPA2G140pp,66.3254
3HAD161_num1,37.9377
3HAD161_num2,102.1965
PLIPA2G160pp,66.3254
PLIPA2G181pp,66.3254
ASNS1,125.3166
EAR80y,111.4545
EAR120y,111.4545
3OAR181,102.2401
3HAD121_num1,37.9377
3HAD121_num2,102.1965
EAR121y,111.4545
GTHRDHpp,61.7672
PROGLYtex_num1,41.2193
PROGLYtex_num2,116.7646
PROGLYtex_num3,117.9984
PROGLYtex_num4,121.1028
MDDCP2pp_num1,47.7518
MDDCP2pp_num2,87.2168
MDDCP2pp_num3,88.8869
MDDCP2pp_num4,51.7977
MDDCP2pp_num5,43.3455
MDDCP2pp_num6,41.8486
MDDCP3pp_num1,47.7518
MDDCP3pp_num2,87.2168
MDDCP3pp_num3,88.8869
MDDCP3pp_num4,51.7977
MDDCP3pp_num5,43.3455
MDDCP3pp_num6,41.8486
EAR140x,111.4545
EAR40y,111.4545
3OAS181,86.0906
EAR161y,111.4545
G3PAT140,100.0198
G3PAT160,100.0198
G3PAT161,100.0198
AGPAT160,27.4528
CDAPPA140,28.4504
MLDCP1App_num1,36.0819
MLDCP1App_num2,34.4107
MLDCP1App_num3,67.8117
MLDCP1App_num4,34.6355
MLDCP1App_num5,33.3249
EAR160y,111.4545
EAR100y,111.4545
3OAR141,102.2401
3OAR161,102.2401
3HAD141_num1,37.9377
3HAD141_num2,102.1965
EAR121x,111.4545
PSD140,35.934
MICITDr,186.994
CDAPPA181,28.4504
PGSA140,20.7004
LPLIPAL1A141pp,94.4875
LPLIPAL1A180pp,94.4875
LPLIPAL1E140pp,94.4875
LPLIPAL1E161pp,94.4875
LPLIPAL1G140pp,94.4875
ACONTa_num1,186.994
ACONTa_num2,195.3521
MLDCP2App_num1,67.8117
MLDCP2App_num2,36.0819
MLDCP2App_num3,34.6355
MLDCP2App_num4,33.3249
MLDCP2App_num5,34.4107
PGPP120pp_num1,19.4179
PGPP120pp_num2,29.0209
PGPP181pp_num1,19.4179
PGPP181pp_num2,29.0209
PGSA181,20.7004
PGPP140_num1,19.4179
PGPP140_num2,29.0209
PGPP141_num1,19.4179
PGPP141_num2,29.0209
MDDCP5pp_num1,47.7518
MDDCP5pp_num2,87.2168
MDDCP5pp_num3,88.8869
MDDCP5pp_num4,51.7977
MDDCP5pp_num5,43.3455
MDDCP5pp_num6,41.8486
MLTGY3pp_num1,49.4169
MLTGY3pp_num2,40.112
MLTGY3pp_num3,40.2553
MLTGY3pp_num4,73.3523
MLTGY3pp_num5,40.4101
MLTGY3pp_num6,22.2263
MLTGY3pp_num7,58.3014
MLTGY3pp_num8,38.2469
G3PAT180,100.0198
AGPAT140,27.4528
PGSA160,20.7004
MLDCP2Bpp_num1,36.0819
MLDCP2Bpp_num2,33.3249
MLDCP2Bpp_num3,34.6355
MLDCP2Bpp_num4,34.4107
MLDCP2Bpp_num5,67.8117
3OAS140_num1,85.2257
3OAS140_num2,86.0906
3OAR140,102.2401
3OAR160,102.2401
PGSA161,20.7004
3HAD181_num1,37.9377
3HAD181_num2,102.1965
PGPP160_num1,19.4179
PGPP160_num2,29.0209
PGPP180_num1,19.4179
PGPP180_num2,29.0209
PGPP161_num1,19.4179
PGPP161_num2,29.0209
PGPP181_num1,29.0209
PGPP181_num2,19.4179
CDAPPA180,28.4504
NTP12,36.4249
PE141abcpp,128.92
PE160abcpp,128.92
PE161abcpp,128.92
PSD141,35.934
PG140abcpp,128.92
PG141abcpp,128.92
PG180abcpp,128.92
PG181abcpp,128.92
PGP141abcpp,128.92
PGP160abcpp,128.92
PGP180abcpp,128.92
PAPA181pp,29.0209
PA140abcpp,128.92
MDDCP4pp_num1,47.7518
MDDCP4pp_num2,87.2168
MDDCP4pp_num3,88.8869
MDDCP4pp_num4,51.7977
MDDCP4pp_num5,43.3455
MDDCP4pp_num6,41.8486
CLPNS140pp_num1,54.8217
CLPNS140pp_num2,47.6329
CLPNS141pp_num1,54.8217
CLPNS141pp_num2,47.6329
PG120abcpp,128.92
PE140abcpp,128.92
CFAS160E,87.817
CFAS180E,87.817
CFAS180G,87.817
PAPA160,29.0209
PAPA180,29.0209
PAPA181,29.0209
PETNT161pp,63.8036
PSSA160,52.8011
PSSA181,52.8011
DAGK140,39.7336
DAGK160,39.7336
DAGK141,39.7336
DAGK161,39.7336
AGPAT181,27.4528
MDDEP3pp_num1,29.9162
MDDEP3pp_num2,21.0396
MDDEP3pp_num3,60.2727
MDDEP3pp_num4,51.7977
MDDEP3pp_num5,33.887
MDDEP3pp_num6,41.8486
MDDEP3pp_num7,49.0572
MDDEP4pp_num1,29.9162
MDDEP4pp_num2,41.8486
MDDEP4pp_num3,60.2727
MDDEP4pp_num4,51.7977
MDDEP4pp_num5,33.887
MDDEP4pp_num6,21.0396
MDDEP4pp_num7,49.0572
MLTGY1pp_num1,49.4169
MLTGY1pp_num2,22.2263
MLTGY1pp_num3,40.4101
MLTGY1pp_num4,40.112
MLTGY1pp_num5,73.3523
MLTGY1pp_num6,40.2553
MLTGY1pp_num7,58.3014
MLTGY1pp_num8,38.2469
CGLYtex_num1,41.2193
CGLYtex_num2,116.7646
CGLYtex_num3,117.9984
CGLYtex_num4,121.1028
3HAD40_num1,37.9377
3HAD40_num2,102.1965
PLIPA1E141pp,66.3254
3OAS60_num1,86.0906
3OAS60_num2,85.2257
3OAS160_num1,85.2257
3OAS160_num2,86.0906
3OAR60,102.2401
3OAR80,102.2401
MLDCP3App_num1,36.0819
MLDCP3App_num2,34.4107
MLDCP3App_num3,67.8117
MLDCP3App_num4,34.6355
MLDCP3App_num5,33.3249
MLDCP1Bpp_num1,36.0819
MLDCP1Bpp_num2,34.4107
MLDCP1Bpp_num3,67.8117
MLDCP1Bpp_num4,34.6355
MLDCP1Bpp_num5,33.3249
2AGPE181tipp,41.6551
2AGPA140tipp,41.6551
2AGPA160tipp,41.6551
2AGPA180tipp,41.6551
2AGPA141tipp,41.6551
PLIPA1G160pp,66.3254
PLIPA1G141pp,66.3254
LPLIPAL2E160,38.9778
LPLIPAL2G140,38.9778
LPLIPAL2G160,38.9778
2AGPE140tipp,41.6551
2AGPE160tipp,41.6551
2AGPE180tipp,41.6551
2AGPE141tipp,41.6551
2AGPE161tipp,41.6551
2AGPA161tipp,41.6551
2AGPA181tipp,41.6551
2AGPG120tipp,41.6551
LPLIPAL2G120,38.9778
PA141abcpp,128.92
PA161abcpp,128.92
PA180abcpp,128.92
PGPP161pp_num1,19.4179
PGPP161pp_num2,29.0209
PE120abcpp,128.92
PE180abcpp,128.92
PAPA140,29.0209
PAPA141,29.0209
PAPA161,29.0209
GTHOXtex_num1,41.2193
GTHOXtex_num2,116.7646
GTHOXtex_num3,117.9984
GTHOXtex_num4,121.1028
DSBAO1,43.2462
DSBAO2,43.2462
DSBDR_num1,77.3489
DSBDR_num2,73.6008
TDSR1,113.0371
CGLYabcpp,203.5016
PLIPA2A120pp,66.3254
