,MW
PNTK,72.7186
DPCOAK,22.6214
HETZK,54.6777
KDOPS,123.3294
KDOPP,79.9875
AST,38.4554
SGDS,35.7998
CYNTAH,170.4863
GSPMDA,141.0622
GSPMDS,141.0622
GUAD,50.2436
TMAOR1_num1,144.0922
TMAOR1_num2,233.0399
TMAOR2,144.0922
DGK1,47.1848
DTMPK,23.7828
NDPK1_num1,23.5857
NDPK1_num2,61.853
TRDR_num1,81.0518
TRDR_num2,84.7999
PGMT_num1,58.3602
PGMT_num2,20.7796
PGMT_num3,23.5646
FRUK,67.5106
RHCCE,19.416
KG6PDC_num1,47.1556
KG6PDC_num2,23.4445
X5PL3E_num1,32.0063
X5PL3E_num2,32.4548
DOGULNR,73.1447
BETALDHx,211.6421
BETALDHy,211.6421
MLTG3,69.0402
DKGLCNR1_num1,31.1092
DKGLCNR1_num2,29.4364
NADTRHD,412.4784
FMNRx2_num1,42.5061
FMNRx2_num2,26.2417
FMNRx2_num3,530.1519
ACPS1_num1,28.1042
ACPS1_num2,21.7675
GMPS2,117.3571
AMPN,323.9654
GSNK,96.8964
ADCS,71.7406
ADCL_num1,59.4295
ADCL_num2,18.7767
DHAPT,360.8301
UMPK_num1,24.746
UMPK_num2,155.8199
DDPGALA,21.3903
DURIK1,23.4563
UPPRT,67.599
CTPS2,241.4938
NTD1_num1,45.4156
NTD1_num2,26.9001
NTD1_num3,25.3003
NTD1_num4,20.2552
NTD7_num1,25.3985
NTD7_num2,26.9001
NTD7_num3,20.2552
NTD7_num4,27.1628
PAPPT3,39.8742
UAGPT3,37.8143
F6PA_num1,229.9656
F6PA_num2,23.5549
AGMHE,174.4637
GMHEPAT,102.1
IDOND,37.1462
IDOND2,37.1462
GLYCLTDx_num1,70.7902
GLYCLTDx_num2,35.343
HPYRRy_num1,35.343
HPYRRy_num2,70.7902
ACODA,84.6937
ADA,36.397
DADA,36.397
ADD,127.4773
ADSS,94.6888
AGDC,163.7945
ASNN_num1,148.5072
ASNN_num2,33.3936
ASNS2_num1,73.3002
ASNS2_num2,125.3166
ASPCT_num1,309.2843
ASPCT_num2,206.5617
DMPPS,69.5483
MCOATA,41.0563
IPDPS,69.5483
DAPE,60.4165
DHDPRy,115.0252
HSK,67.2466
SDPTA_num1,91.5482
SDPTA_num2,44.7285
SDPTA_num3,87.5329
SDPTA_num4,87.3297
SDPTA_num5,79.5657
THRS,47.1133
HSST,71.4537
PPNDH,86.2217
DDPA_num1,152.0364
DDPA_num2,77.6071
DDPA_num3,77.4692
NMNDA,35.163
NNAM,23.3618
P5CD,287.6269
SPMDAT1,87.547
SPMDAT2,87.547
TDPADGAT,24.2201
MALS_num1,60.2729
MALS_num2,80.4876
TRE6PP,29.1749
ADPRDP_num1,42.3058
ADPRDP_num2,47.333
ARAI,336.4401
M1PD,41.1385
G3PD2,72.7224
GALS3,101.3131
FCI,389.8559
FCLK,52.2581
FCLPA_num1,23.2222
FCLPA_num2,95.1002
ACCOAL_num1,72.0927
ACCOAL_num2,69.3501
GALUi,131.7676
U23GAAT,108.1143
UAAGDS,53.343
UAMAS,107.2507
UAMAGS,46.9731
UGLYCH,18.1693
OP4ENH,144.4477
HOPNTAL,36.47
3HPPPNH,62.185
AKGDH,2418.3625
HPYRRx_num1,35.343
HPYRRx_num2,70.7902
GLYCDx,309.694
ASP1DC,13.8336
UGMDDS,47.4466
UHGADA,33.9555
UAGAAT,92.8784
ATPPRT,66.7327
HISTD,92.2196
IGPDH,80.555
PRPPS,34.2179
PRATPP,22.7556
PRMICI,26.0323
SERAT,175.8978
CYSS_num1,65.3276
CYSS_num2,68.9784
BPNT,27.1755
PAPSR_num1,71.5055
PAPSR_num2,67.7574
ASPK_num1,177.7732
ASPK_num2,356.4769
ASPK_num3,97.0623
ASAD,80.0348
DAPDC,92.3534
METAT,167.8045
ASCBPL,240.3612
ACBIPGT,40.3275
ADOCBLS,26.3853
ADOCBIK,40.3275
TMPK,35.0704
HPPPNDO,136.7825
DHCINDO,136.7825
HKNDDH,63.8742
HKNTDH,63.8742
GLYCK2,39.1039
ENTCS,23.2583
SULR,786.1414
MANPGH,100.0138
URDGLYCD,75.9334
CBMKr,31.6437
AMANAPEr,24.0734
ACM6PH,62.4392
NNATr,24.5276
CYTDH_num1,33.8225
CYTDH_num2,134.9906
CYTDH_num3,32.5604
PSERT,79.5657
AIRC2,78.9213
GAPD,142.1283
HEX1,34.7227
GND,102.9613
TAUDO,129.6364
ME2,494.4987
ARGSL,50.3176
CBPS,318.5418
GLU5K,156.2242
IPPS,57.2972
ACOATA,75.6689
MLTG2,69.0402
MLTG1,69.0402
AMALT3,78.5026
MLTP3,181.0425
SPODM_num1,46.1936
SPODM_num2,42.531
AHCYSNS,48.7074
TMK,32.3969
NTPP4_num1,15.0459
NTPP4_num2,60.8239
NTPP3_num1,60.8239
NTPP3_num2,16.3705
NTPP3_num3,15.0459
NTPP6_num1,60.8239
NTPP6_num2,65.6508
NTPP7_num1,16.3705
NTPP7_num2,60.8239
NTPP7_num3,43.0304
NTPP8_num1,60.8239
NTPP8_num2,43.0304
P5CR,281.4459
CYANST_num1,37.277
CYANST_num2,24.1647
CYANST_num3,30.8114
DHPPDA2,80.6757
GMAND,84.0926
PPCSCT,53.8238
CYTD,63.079
DCYTD,63.079
DBTS,48.2786
DCTPD,63.747
DHDPS,125.0785
G1PACT,147.5685
GART,42.4332
CSND,285.5424
GF6PTA,133.7871
GLUCYS,58.2686
GLUN_num1,131.6118
GLUN_num2,67.0304
GLUPRT,225.9496
GMPR,149.533
NADS1,61.2729
NTRIR2x,105.4041
OCBT_num1,110.7201
OCBT_num2,110.4802
GARFT,23.238
GPDDA1,27.4093
GPDDA2,27.4093
PHETA1_num1,87.1457
PHETA1_num2,87.0746
PHETA1_num3,204.5595
PPND,84.084
TRPS1,143.4127
PRAMPC,22.7556
MCITL2,128.5372
DXYLK,105.2353
MDH3,60.2289
SOTA,87.3297
SGSAD,53.0257
PTA2,463.0271
MDH2,60.2289
ACOTA_num1,91.5482
ACOTA_num2,87.3297
ACOTA_num3,87.5329
ACOTA_num4,44.7285
GPDDA5,27.4093
PDX5PS,281.2988
PPBNGS,284.9954
PPNCL2,521.2517
PRAGSr,45.9398
PRFGS,141.4011
ETHAAL,487.1025
MAN1PT2,53.0157
AP4AH,31.2963
AP5AH,31.2963
ADNCYC,97.5848
MI1PP,29.1718
MCITS,86.2033
PPAKr,43.3836
NTP3_num1,68.8666
NTP3_num2,36.7035
NTP3_num3,35.6593
NTP3_num4,39.1928
NTP3_num5,31.5647
NTP3_num6,36.1128
NTP3_num7,48.3265
PPM2,44.3694
MOAT2,47.2905
G6PDH2r,55.7038
NADH5_num1,40.7507
NADH5_num2,47.3581
NADH5_num3,40.3395
NADH5_num4,83.3812
MOHMT,282.3712
GMPS,117.3571
UDPGD,87.3127
GLCRD_num1,48.849
GLCRD_num2,49.1404
PPPNDO,126.9939
CHRPL_num1,18.7767
CHRPL_num2,59.4295
TDPAGTA,167.6022
UACMAMO,91.6764
FBA3,78.2936
PMPK,114.5331
LCADi,209.0887
ADK3,23.5857
GLUDC_num1,316.1074
GLUDC_num2,316.0052
BSORy,85.8497
ADSK,44.6421
HSDy_num1,177.7732
HSDy_num2,356.4769
CYSTL_num1,172.8475
CYSTL_num2,87.2827
SHSL1,166.1996
SSALy_num1,99.4346
SSALy_num2,206.8778
3HCINNMH,62.185
BSORx,85.8497
GLUtex_num1,41.2193
GLUtex_num2,116.7646
GLUtex_num3,117.9984
GLUtex_num4,121.1028
GLYtex_num1,41.2193
GLYtex_num2,116.7646
GLYtex_num3,117.9984
GLYtex_num4,121.1028
GLYALDtex_num1,41.2193
GLYALDtex_num2,116.7646
GLYALDtex_num3,117.9984
GLYALDtex_num4,121.1028
GLYBtex_num1,41.2193
GLYBtex_num2,116.7646
GLYBtex_num3,117.9984
GLYBtex_num4,121.1028
GLYCtex_num1,41.2193
GLYCtex_num2,116.7646
GLYCtex_num3,117.9984
GLYCtex_num4,121.1028
GLYC3Ptex_num1,41.2193
GLYC3Ptex_num2,116.7646
GLYC3Ptex_num3,117.9984
GLYC3Ptex_num4,121.1028
GLYCLTtex_num1,41.2193
GLYCLTtex_num2,116.7646
GLYCLTtex_num3,117.9984
GLYCLTtex_num4,121.1028
GTPtex_num1,116.7646
GTPtex_num2,41.2193
GTPtex_num3,121.1028
GTPtex_num4,117.9984
GUAtex,33.5886
Htex_num1,41.2193
Htex_num2,116.7646
Htex_num3,117.9984
Htex_num4,121.1028
H2tex_num1,41.2193
H2tex_num2,116.7646
H2tex_num3,117.9984
H2tex_num4,121.1028
H2Otex_num1,41.2193
H2Otex_num2,121.1028
H2Otex_num3,34.9128
H2Otex_num4,27.1999
H2Otex_num5,37.2003
H2Otex_num6,116.7646
H2Otex_num7,117.9984
FACOAL160t2pp_num1,62.7586
FACOAL160t2pp_num2,124.6625
FACOAL180t2pp_num1,62.7586
FACOAL180t2pp_num2,124.6625
SPODMpp,17.6808
NO3R1bpp,189.2353
PHYTSpp,94.1125
PPTHpp,98.876
NO3R2pp_num1,250.9602
NO3R2pp_num2,474.5497
NTP3pp,94.1125
NO3R2bpp,132.4376
THD2pp,206.6905
TMAOR1pp_num1,138.0609
TMAOR1pp_num2,129.2489
TMAOR2pp_num1,138.0609
TMAOR2pp_num2,129.2489
DAPtex_num1,41.2193
DAPtex_num2,116.7646
DAPtex_num3,117.9984
DAPtex_num4,121.1028
12PPDStex_num1,41.2193
12PPDStex_num2,116.7646
12PPDStex_num3,117.9984
12PPDStex_num4,121.1028
DDGLCNtex_num1,41.2193
DDGLCNtex_num2,116.7646
DDGLCNtex_num3,117.9984
DDGLCNtex_num4,121.1028
26DAHtex_num1,41.2193
26DAHtex_num2,116.7646
26DAHtex_num3,117.9984
26DAHtex_num4,121.1028
