,biomass,biomass_diff,biomass_diff_ratio
NTD3pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD2pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD1pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD10pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTPP11,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTPP10,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTPP9,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
DNTPPA,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GLUNpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ASNNpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GGPTRCS,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
MALTabcpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GDPDPK,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
SARCOX,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
23PDE9pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
23PDE4pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
23PDE2pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GPDDA2pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
FACOAE160,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GPDDA3pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
MMCD,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
LPLIPAL2E180,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
DASYN141,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
DASYN180,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
DASYN140,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
G3PAT181,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
G3PAT141,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
EAR181y,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
EAR181x,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
EAR141x,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
LPLIPAL2A141,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
GTHS,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
AMALT2,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
MLTP1,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
HXAND,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
UDPGPpp,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
PPPGO,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
ADNK1,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
CYSSADS,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
CPPPGO2,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
SUCBZL,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
CYSDDS,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
NTP10,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
FACOAE120,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
3OAR120,0.8769972144267262,2.4358293160275934e-13,2.777465282622551e-13
