,biomass,biomass_diff,biomass_diff_ratio
3OAR121,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
PLIPA1E120pp,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
2AGPGAT141,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
DASYN181,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
CDAPPA161,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
3OAS141,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
FACOAE80,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
FACOAE100,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
PSSA140,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
FACOAE180,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
PGSA180,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
PRPPS_reverse,0.8769972144255086,1.4611645227091685e-12,1.6660993885412667e-12
GMPR,0.8769972144256144,1.3553602684623911e-12,1.5454556139588013e-12
PHETA1,0.8769972144259466,1.0231815394945443e-12,1.166687331114377e-12
GPDDA1,0.8769972144259466,1.0231815394945443e-12,1.166687331114377e-12
GPDDA2,0.8769972144259466,1.0231815394945443e-12,1.166687331114377e-12
HPYRI_reverse,0.8769972144259999,9.698908343125368e-13,1.1059223659521698e-12
GUI2_reverse,0.8769972144259999,9.698908343125368e-13,1.1059223659521698e-12
3OAR120_reverse,0.8769972144259999,9.698908343125368e-13,1.1059223659521698e-12
ADK4_reverse,0.8769972144261249,8.448797217397441e-13,9.633778851758255e-13
ACP1_FMN,0.8769972144262107,7.590594819362195e-13,8.655209725291878e-13
PPM_reverse,0.8769972144262408,7.289724379688778e-13,8.312140859480251e-13
PMEACPE,0.8769972144263534,6.163958232718869e-13,7.028480970428624e-13
EDA,0.8769972144263878,5.819789095085071e-13,6.636040570422703e-13
PGK,0.8769972144263878,5.819789095085071e-13,6.636040570422703e-13
LIPOS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
LIPOCT,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
MMM,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
CPMPS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
MPTSS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
COLIPAKpp,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
OCTNLL,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
LIPATPT,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
LIPAMPL,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
ALDD19xr,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
13PPDH2,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
MOGDS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
WCOS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
VPAMTr,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
3OXCOAT,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
2DGULRGx,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
2DGULRGy,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
AP4AS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
FOMETRi,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
APCS,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
GHBDHx,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
APPLDHr,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
GDPTPDP,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
G2PP,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
THFAT,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
OXCOAHDH,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
FESR,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
FLDR2,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
RNTR4c2,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
DHACOAH,0.8769972144265089,4.608535775219025e-13,5.254903549756704e-13
APH180,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
I2FE2SR,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
DHNCOAT,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
DHNCOAS,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
SEPHCHCS,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
GTHPi,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
APH141,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
APH161,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
CPH4S,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
URACPAH,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
POAACR,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
ACPPAT160,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
ACPPAT181,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
SHCHCS3,0.8769972144265239,4.4586556668946287e-13,5.084002085237997e-13
