,kcat,MW,kcat_MW,source
PFK_2,380121.9599,139.3682,2727.465518676427,
GTPDPDP,375635.88,109.7423,3422.8905353724126,
NADDP,375317.55,59.3779,6320.828961617032,
ALAALAD,373601.52,21.213,17611.91344929996,
ASPCT,371765.9999,206.5642,1799.7600741077108,
PPA,370525.8463,26.9004,13773.990212041455,
SHSL1,365432.7272,166.2016,2198.7317041472525,
SHK3Dr,353525.8909,29.4136,12019.130296869474,
CHOLD,348103.0588,61.8776,5625.671629151746,
NTD2pp,347934.6,60.824,5720.350519531764,
NTD4,347934.6,26.9004,12934.17941740643,
NTD9pp,347934.6,60.824,5720.350519531764,
NTD10pp,347934.6,60.824,5720.350519531764,
NTD4pp,347934.6,60.824,5720.350519531764,
NTD7pp,347934.6,60.824,5720.350519531764,
NTD11pp,347934.6,60.824,5720.350519531764,
NTD9,347934.6,20.255,17177.714144655638,
NTD2,347934.6,25.3006,13752.029596136059,
NTD7,347934.6,20.255,17177.714144655638,
NTD10,347934.6,26.9004,12934.17941740643,
NTD11,347934.6,25.399,13698.751919366905,
ICL,347321.4546,190.0863,1827.1777324299546,
PPAKr,347142.8571,43.3841,8001.614810495092,
PPAKr_reverse,347142.8571,43.3841,8001.614810495092,
CTECOAI7_reverse,343538.2373,159.1878,2158.068880278513,
CTECOAI8_reverse,343538.2373,159.1878,2158.068880278513,
CTECOAI8,343538.2373,159.1878,2158.068880278513,
CTECOAI6_reverse,343538.2373,159.1878,2158.068880278513,
CTECOAI6,343538.2373,159.1878,2158.068880278513,
CTECOAI7,343538.2373,159.1878,2158.068880278513,
TDPGDH,340896.96,39.7538,8575.204382977226,
DHPTDNRN,323785.1613,47.8104,6772.274678730988,
DHPTDNR,323785.1613,47.8104,6772.274678730988,
APCS,322629.0,64.6428,4990.950268243331,
SUCBZS,322400.0,35.4766,9087.680330133102,
ADD,320762.82,127.4787,2516.2071781403483,
GMPS,317886.9,117.3584,2708.6846787277264,
GMPS2,317886.9,117.3584,2708.6846787277264,
3OAR120_reverse,316796.9835,102.2412,3098.5256775155212,
3OAR80_reverse,316796.9835,102.2412,3098.5256775155212,
3OAR100_reverse,316796.9835,102.2412,3098.5256775155212,
3OAR60_reverse,316796.9835,102.2412,3098.5256775155212,
3OAR160_reverse,316796.9835,102.2412,3098.5256775155212,
3OAR140_reverse,316796.9835,102.2412,3098.5256775155212,
LCADi,316640.0,209.0912,1514.3631104513247,
MTHFR2,315370.9091,132.4109,2381.759425394737,
METSOXR1,313919.8154,35.1216,8938.084124869027,
METSOXR2,313919.8154,27.2578,11516.696703328955,
AMAOTr_reverse,300452.5,94.6712,3173.642036860206,
CYTK1_reverse,300430.96,24.7463,12140.439580866634,
CYTK2_reverse,300430.96,24.7463,12140.439580866634,
DHQTi,294428.5714,54.9333,5359.746663681228,
PPM,292975.7143,44.37,6603.013619562767,
PPM_reverse,292975.7143,44.37,6603.013619562767,
FADRx,292201.2,26.241999999999997,11134.867769224908,
GND,290229.0,102.9626,2818.780800018649,
NTD5pp,290100.0,60.824,4769.498882020255,
NTD1,290100.0,20.255,14322.389533448533,
NTD6pp,290100.0,60.824,4769.498882020255,
NTD1pp,290100.0,60.824,4769.498882020255,
NTD3pp,290100.0,60.824,4769.498882020255,
NTD8pp,290100.0,60.824,4769.498882020255,
NTD6,290100.0,20.255,14322.389533448533,
NTD3,290100.0,20.255,14322.389533448533,
NTD5,290100.0,20.255,14322.389533448533,
NTD8,290100.0,20.255,14322.389533448533,
GTPCII2,289966.04,43.672,6639.632716614765,
BETALDHy,289208.5714,211.6445,1366.482811507032,
BETALDHx,289208.5714,211.6445,1366.482811507032,
GLUDy,288060.0923,291.4882,988.2392916763013,
ICDHyr_reverse,286973.2443,91.5134,3135.860369082561,
ORNDC,284206.1539,158.8324,1789.3462158854236,
DHPS2,277279.9754,61.2302,4528.483908267489,
GLGC,273324.5143,194.7906,1403.170965642079,
SHK3Dr_reverse,272632.1054,29.4136,9268.913203416108,
XAND,271309.0909,129.7994,2090.2183746612077,
SUCOAS_reverse,268855.2,142.3403,1888.8199617395776,
MMCD,268702.8,175.0355,1535.1331587020914,
PPC,3596400.0,396.2504,9076.079166103049,BRENDA and SABIO-RK
OXCDC,267660.0,242.3249,1104.5501308367402,
PFK,3596400.0,64.91199999999999,55404.23958590092,BRENDA and SABIO-RK
PYNP2r,263696.0,162.9545,1618.2185824877497,
PYNP2r_reverse,263696.0,162.9545,1618.2185824877497,
G1PPpp,263400.0,91.3658,2882.916802567264,
G1PP,263400.0,22.732,11587.189864508182,
EDA,259742.268,66.8521,3885.326982996795,
MCITL2,259416.0,128.5386,2018.195312536468,
MCITL2_reverse,259416.0,128.5386,2018.195312536468,
ALKP,253046.88,20.7798,12177.541651026477,
DAPE,251231.85,60.4171,4158.290450882284,
DAPE_reverse,251231.85,60.4171,4158.290450882284,
OMPDC,248163.1579,52.7005,4708.933651483382,
M1PD_reverse,244395.0,41.138999999999996,5940.713191861737,
M1PD,244395.0,41.138999999999996,5940.713191861737,
GUI2_reverse,244320.0,53.9872,4525.517159623022,
GUI1,244320.0,53.9872,4525.517159623022,
GUI2,244320.0,53.9872,4525.517159623022,
GUI1_reverse,244320.0,53.9872,4525.517159623022,
HSDy_reverse,243007.2,177.7754,1366.9337827393442,
GHMT2r,241893.8182,90.6332,2668.93167404439,
DHORTS,234949.0909,77.6548,3025.557865064362,
DHORTS_reverse,234949.0909,77.6548,3025.557865064362,
ENO,828000.0,91.3099,9068.020006592933,BRENDA and SABIO-RK
ENO_reverse,234341.3332,91.3099,2566.439490131957,
ACGK,228480.0,54.3191,4206.255258279316,
DAPAL,216683.7231,86.6551,2500.530529651457,
URDGLYCD,214605.0,75.9342,2826.196891519236,
SUCBZL,212736.0,200.7387,1059.7657551832308,
RBK_L1,212328.0,122.1788,1737.8465003748606,
PGMT,207523.2,20.7798,9986.77561862963,
PGMT_reverse,207523.2,20.7798,9986.77561862963,
MSAR,207378.0,21.5704,9614.00808515373,
AP4AH,202471.2,31.2967,6469.4105129294785,
UAMAS,201252.96,107.2519,1876.4512330317689,
GHMT2r_reverse,193916.5714,90.6332,2139.5754690334225,
DAAD,192472.1333,95.2146,2021.4560928681103,
FMNRx,188443.7673,26.241999999999997,7180.998677692249,
CSND,185341.2632,285.5459,649.0769547032543,
CYTK2,183744.0,24.7463,7425.110016446902,
SSALy,182752.9412,99.4357,1837.900685568664,
SSALx,182752.9412,99.4357,1837.900685568664,
