,MW,kcat,kcat_MW,source
OHPBAT,79.5657,5316.624178350592,66.82055431361242,
GLUTRR,92.6125,719683.2000000002,7770.907814819814,
GLCS1,52.8218,1093500.0,20701.679988186694,
GLCP_num1,186.3428,387265.32,2078.241391671693,
GLCP_num2,181.0425,387265.32,2139.0851319441567,
ADMDC,30.3843,16389.043625454546,539.3918446518284,
AGMT,67.1133,5457.6,81.31920200615974,
ARGDC,844.2428,12120.545454545454,14.356705742169733,
SPMS,64.642,25013.454545454544,386.95359898292975,
G1SAT,90.7313,1836.0,20.235574713467127,
KDOCT2,27.6141,52680.0,1907.7210555477093,
OAADC,66.8513,600704.6037735849,8985.683206962094,
MNNH,44.8375,9948.0,221.86785614719818,
GUI1,53.9866,244320.0,4525.567455627877,
PGAMT,47.543,5550.469356968138,116.7463003379706,
UAGDP,147.5685,462342.3296755568,3133.069250385799,
UAGCVT,44.8171,11229.280033976296,250.55793511798612,
GLUR,31.0016,172913.87368421053,5577.579017992959,
UAG2E,84.4882,10908.9,129.1174388849567,
ICHORS_copy1,42.9311,39634.36363636364,923.2086677574913,
HACD5_num1,159.1859,4965491.502439024,31193.035956319145,
HACD5_num2,77.0713,4965491.502439024,64427.24467394509,
HPPK2,18.0786,1798506.0,99482.59267863662,
PTPATi,107.0186,37723.5668,352.4954241599123,
HEX7,32.4994,2310746.4,71101.20186834218,
DXPRIi,86.7751,6249426.000000001,72018.65512111195,
GHMT2r,90.6321,222126.11244852628,2450.8547462601696,
DHORD2,36.7741,159865.3806390936,4347.227549799822,
ADK4,23.5857,3008.017233330552,127.53563529301873,
ABTA_num1,91.5482,71091.51428571428,776.5473737955992,
ABTA_num2,44.7285,71091.51428571428,1589.400813479421,
SSALx,99.4346,182752.94117647057,1837.921017195932,
ASPT,209.4223,474852.85714285716,2267.4417057918718,
SERD_L_num1,211.0914,940849.8545454544,4457.073355643359,
SERD_L_num2,48.9061,940849.8545454544,19237.883506259022,
SERD_L_num3,97.0423,940849.8545454544,9695.255105716316,
SERD_L_num4,48.7524,940849.8545454544,19298.53411412473,
SERD_L_num5,140.9281,940849.8545454544,6676.098340539995,
THRD_num1,148.9546,560148.0001200001,3760.528376565745,
THRD_num2,40.3509,560148.0001200001,13881.920852322995,
KARA1,216.2737,8953.149298838325,41.39730951492634,
KARA2,216.2737,9128.890144187264,42.20989488868626,
ACCOAC,252.4528,31025.752216512534,122.8972394701605,
NADK,195.396,53413.2,273.358717681017,
ICHORS_copy2,97.5279,39634.36363636364,406.3900036437126,
SUCBZS,35.4762,322400.0,9087.782795226096,
DHBD,104.9974,62421.70909090909,594.5071886628534,
ICHORT,32.554,116126.0,3567.1806844013026,
RBK_L1,122.1774,212328.0,1737.8664139194318,
RBP4E_num1,25.2774,64040.8,2533.52006139872,
RBP4E_num2,102.0744,64040.8,627.3933522998911,
RBP4E_num3,25.5606,64040.8,2505.4497938233058,
NTD2_num1,25.3003,347934.6,13752.192661747093,
NTD2_num2,26.9001,347934.6,12934.323664224297,
NTD2_num3,27.1628,347934.6,12809.231743413786,
NTD4_num1,26.9001,347934.6,12934.323664224297,
