,biomass,biomass_diff,biomass_diff_ratio
NTD1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
CTPS2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DURIK1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DDPGALA,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UMPK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DHAPT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
HSK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ADCS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DAPE,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
FCLPA,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
SDPTA,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GALS3,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GMPS2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
HOPNTAL,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
OP4ENH,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UGLYCH,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UAMAGS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UAMAS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UAAGDS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
U23GAAT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GALUi,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ACCOAL,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
FCI,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
M1PD,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
THRS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ARAI,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ADPRDP,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TRE6PP,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
SPMDAT2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
SPMDAT1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
P5CD,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NNAM,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NMNDA,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DDPA,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
PPNDH,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
HSST,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
AMPN,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
MALS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ACPS1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ADNUC,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NDPK7,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UAPGR,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ALLTN,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TDPDRR,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TDPDRE,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
UDPGALM,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TDPGDH,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
G1PTT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
BUTCT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ACACCT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
HACD2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
HACD1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GK1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
CYTK2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TREH,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TRE6PS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
PACCOAL,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
MLTP2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
AMALT1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
AB6PGH,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DDGALK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
CAT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
ACNML,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
AMANK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
FMNRx2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GLYAT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
CYTK1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
S7PI,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GSPMDS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
MLTG3,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NADTRHD,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TRPS3,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
BETALDHy,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
BETALDHx,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
KG6PDC,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
RHCCE,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
TRDR,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NDPK1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DTMPK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DGK1,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GUAD,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
PGMT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GSPMDA,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
PNTK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NDPK2,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
FADRx,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NDPK3,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
NDPK4,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
