,kcat,MW,kcat_MW,source
MOAT,212400.0,47.2911,4491.331349873443,
UDCPDPS,504.0,56.8883,8.85946670932336,
USHD,20475.11943,26.8942,761.3210071316494,
LPADSS,187200.0,84.7649,2208.46128527256,
TDSK,26884.71438,35.5893,755.415655267173,
NTPP1_num1,29218.07367,14.9271,1957.3844665072247,
NTPP1_num2,29218.07367,60.8246,480.36606356638606,
NTPP2_num1,10172.32877,14.9271,681.4671818370615,
NTPP2_num2,10172.32877,60.8246,167.24037264527843,
NTPTP1,28199.90188,356.2976,79.1470441563457,
NTPTP2,58754.90664,356.2976,164.90402023477003,
IPMD_num1,17640.0,79.03399999999998,223.1950805982236,
IPMD_num2,17640.0,40.3149,437.55534554221884,
AIRC3,11996.22974,142.2426,84.33640653362636,
ADSL2r,54000.0,206.1712,261.91825046369235,
PUNP5_num1,18776.87584,179.0077,104.8942354993668,
PUNP5_num2,18776.87584,155.6995,120.59689234711736,
PUNP6_num1,19606.60291,155.6995,125.92592082826212,
PUNP6_num2,19606.60291,179.0077,109.52938287012232,
PUNP7,19138.3919,179.0077,106.91379141791107,
RNDR1_num1,9882.90527,274.1399,36.05059048318032,
RNDR1_num2,9882.90527,270.3917,36.550327802221744,
RNDR3_num1,12566.47479,270.3917,46.47507593613266,
RNDR3_num2,12566.47479,274.1399,45.83964169389425,
RNDR4_num1,10859.48639,270.3917,40.16205523320428,
RNDR4_num2,10859.48639,274.1399,39.61293627815578,
TMDS,26640.0,60.9594,437.0121753166862,
TMDK1,9983.48333,23.4566,425.61510747508163,
PPCDC,540.0,521.2577,1.0359559196919297,
FTHFD,11273.54495,191.6083,58.83641235791977,
EDD,1407600.0,64.639,21776.326985256583,median
DHQTi,212400.0,54.9333,3866.507200550486,
PUNP1,17754.490680000006,155.6995,114.03049258347008,
PUNP2,16381.18715,155.6995,105.21027459946885,
PUNP3_num1,16041.29791,179.0077,89.61233460906988,
PUNP3_num2,16041.29791,155.6995,103.02729238051502,
LYSAM,26321.80499,38.75,679.2723868387097,
DHAD1,1512000.0,131.0631,11536.427873291568,
IPPMIa,11963.94288,72.3693,165.31793011677604,
G3PD7,97058.71559,148.4235,653.9309178802547,
NADH9_num1,10293.42646,40.34,255.16674417451657,
NADH9_num2,10293.42646,47.3587,217.35027481750976,
NADH9_num3,10293.42646,83.384,123.44606231411301,
NADH9_num4,10293.42646,40.751999999999995,252.58702542206512,
NADH10_num1,21675.04155,40.34,537.3089129895885,
NADH10_num2,21675.04155,47.3587,457.6781362241784,
NADH10_num3,21675.04155,40.751999999999995,531.8767557420495,
NADH10_num4,21675.04155,83.384,259.9424535882184,
MDH,25920.0,64.6746,400.7755749552375,
FUM_num1,104334.9147,120.2106,867.9343976321553,
FUM_num2,104334.9147,120.5972,865.152049135469,
FUM_num3,104334.9147,201.9555,516.6232892889769,
PYDXNK,9300.850736,61.6948,150.75582927572503,
PYAM5PO,9300.846143,51.0903,182.04720158229645,
OHPBAT,3.6,79.5666,0.04524511541274857,
GLUTRR,9680.98199,92.6136,104.53088952378485,
GLCS1,12943.08398,52.8224,245.0302140758466,
GLCP_num1,26911.79951,186.3451,144.41914227956624,
GLCP_num2,26911.79951,181.0448,148.64718296244908,
HEMEOS,10296.6826,32.2485,319.29183062778117,
ADMDC,99039.6036,30.3846,3259.5329081179284,
AGMT,34948.09724,67.1141,520.7266020106058,
ARGDC,10396.28729,844.2524,12.31419335023507,
ARGSS,1407600.0,199.5936,7052.3303352412095,median
AGPR,27140.71295,35.9521,754.9131469371747,
SPMS,20729.78166,64.6428,320.68198871336017,
G1SAT,324.0,90.7322,3.570948351301962,
KDOCT2,15120.0,27.6144,547.5404136972014,
OAADC,17454.564169999998,66.8521,261.092234499739,
MNNH,54841.49543,44.838,1223.1030694946248,
ALTRH,69858.52128,54.0931,1291.449764942294,
GUI1,86159.1663,53.9872,1595.9184084375556,
PGAMT,36035.4739,47.5436,757.9458412909413,
UAGDP,57600.0,147.5702,390.3227074300909,
UAGCVT,11880.0,44.8176,265.07443504337584,
GLUR,88419.50993,31.002,2852.058252048255,
UAG2E,57209.15714,84.4892,677.1179883346036,
MACPD,17858.85608,85.2266,209.54556535166247,
DMQMT,22755.67142,53.1109,428.4557674601635,
ICHORS_copy1,50074.22462,42.9316,1166.3721971694506,
HACD5_num1,40209.19967,159.1878,252.58970643478958,
HACD5_num2,40209.19967,77.0722,521.7082121698875,
HPPK2,576.0,18.0788,31.8605217160431,
PTPATi,1980.0,107.0198,18.50124930153112,
HEX7,31530.95853,32.4998,970.1893097803676,
DXPRIi,11880.0,86.77600000000002,136.9042131464921,
OPHBDC,9504.978952,333.6225,28.49022158877174,
OHPHM,24071.53907,53.1109,453.23161667379,
GHMT2r,7192800.0,90.6332,79361.6467254825,BRENDA and SABIO-RK
DHORD2,72000.0,36.7745,1957.8784211885952,
ADK4,9420.738358,23.586,399.42077325532097,
INSK,38426.53993,96.8976,396.5685417389079,
ABTA_num1,33853.97349,91.5493,369.7895395158674,
ABTA_num2,33853.97349,44.7291,756.8668605002111,
SSALx,21752.97002,99.4357,218.76418650444455,
ASPT,20574.12224,209.4245,98.2412384415386,
SERD_L_num1,78829.0727,211.0938,373.43149206656005,
SERD_L_num2,78829.0727,48.9066,1611.8289290198056,
SERD_L_num3,78829.0727,97.0433,812.3082448762563,
SERD_L_num4,78829.0727,48.7529,1616.9104340459744,
SERD_L_num5,78829.0727,140.928,559.35706672911,
THRD_num1,74588.90951,148.9562,500.7439066651808,
THRD_num2,74588.90951,40.351,1848.5021315456866,
KARA1,15966.4598,216.2761,73.82442997631269,
KARA2,563760.0,216.2761,2606.668050700008,BRENDA and SABIO-RK
ACCOAC,264960.0,252.4556,1049.5310858622267,BRENDA and SABIO-RK
NADK,3960.0,195.3983,20.266297096750588,
ICHORS_copy2,24753.81242,97.5291,253.80950321493785,
SUCBZS,25537.98661,35.4766,719.8544000834352,
DHBD,14589.98073,104.9986,138.9540501492401,
ICHORT,13917.92539,32.5543,427.5295549282277,
RBK_L1,26478.88451,122.1788,216.72241428136468,
RBP4E_num1,84320.75084,25.2777,3335.7762312235686,
RBP4E_num2,84320.75084,102.0756,826.0617702957416,
RBP4E_num3,84320.75084,25.5609,3298.8177583731394,
NTD2_num1,9722.766341,25.3006,384.2899512659778,
NTD2_num2,9722.766341,26.9004,361.43575340887116,
NTD2_num3,9722.766341,27.163,357.9415506755513,
NTD4_num1,25068.67115,26.9004,931.9070032415874,
NTD4_num2,25068.67115,27.163,922.8977340499944,
NTD5_num1,10199.23647,45.4161,224.57314630714657,
NTD5_num2,10199.23647,26.9004,379.14813422848727,
NTD5_num3,10199.23647,25.3006,403.1223160715557,
NTD5_num4,10199.23647,20.255,503.54166724265616,
NTD6_num1,14096.05511,45.4161,310.37572821092084,
NTD6_num2,14096.05511,26.9004,524.0091266300873,
NTD6_num3,14096.05511,20.255,695.9296524314984,
LGTHL,9557.43858,29.8397,320.2927167498333,
PYDXPP_num1,29369.90364,30.2013,972.4715042067724,
PYDXPP_num2,29369.90364,30.3709,967.0409385299744,
PYDXPP_num3,29369.90364,29.7077,988.6293331358536,
PYDXPP_num4,29369.90364,27.163,1081.2466826197399,
PDXPP,22698.00031,30.2013,751.5570624443318,
HACD6_num1,31487.30375,159.1878,197.79972931342726,
HACD6_num2,31487.30375,77.0722,408.5429473921855,
ECOAH1_num1,43149.26455,77.0722,559.8551040452978,
ECOAH1_num2,43149.26455,159.1878,271.0588660060633,
ECOAH2_num1,48500.51292,77.0722,629.2867326999879,
ECOAH2_num2,48500.51292,159.1878,304.6748112606619,
ECOAH3_num1,44125.78766,77.0722,572.5253419520917,
ECOAH3_num2,44125.78766,159.1878,277.1932752384291,
UGLT,67891.37389,79.2914,856.2261971664012,
DXPS,3960.0,135.2339,29.282598520045642,
CDPMEK,4680.0,61.8507,75.6660797695095,
MECDPS,324.0,50.6926,6.391465420988468,
DDGLK,171581.3307,33.9624,5052.096751112995,
XYLI2,37166.12269,198.968,186.79447293032044,
PMANM,28985.11675,50.4626,574.3880963327297,
ICL,58476.22074,190.0863,307.62985412415316,
GLYCL,36542.3134,364.0876,100.36681666719768,
HCYSMT,39542.54746,33.4228,1183.1009807676194,
UDPG4E,13617.81289,74.5302,182.71536759595443,
LACZ,74153.44238,465.9314,159.1509874200365,
TRE6PH,31368.074460000003,63.8377,491.3722527597329,
XYLI1,23950.64821,198.968,120.3743728137188,
PPC,7192800.0,396.2504,18152.158332206098,BRENDA and SABIO-RK
G3PT_num1,9873.825329,30.4128,324.6601867963488,
G3PT_num2,9873.825329,27.163,363.50275481353316,
CINNDO,34531.83732,126.9954,271.91407972257264,
DHPPD,16735.64013,28.4996,587.223684893823,
DHCIND,14890.46441,28.4996,522.4797684879786,
CITL,144633.9099,614.1003,235.5216401946067,
GOFUCR,10022.30239,72.2823,138.6550011551929,
PYDXK_num1,9301.044856,61.6948,150.75897573215246,
PYDXK_num2,9301.044856,62.6444,148.473684096264,
GTPCII2,432.0,43.672,9.891921597362154,
SADT2,102441.8063,350.9871,291.86772476823216,
LCARS,12525.20682,81.0267,154.5812284098945,
ALCD19_num1,66988.94494,141.5183,473.35888673055,
ALCD19_num2,66988.94494,3845.0896,17.42194640665851,
RMPA,25917.542,120.58200000000001,214.93707186810641,
SBTPD,16357.75901,111.4315,146.796543257517,
PFK_2,28729.97065,139.3682,206.1443761919864,
GLTPD,22429.04508,74.7803,299.93253677773424,
TGBPA_num1,31362.76788,172.3671,181.95333030491318,
TGBPA_num2,31362.76788,77.9206,402.4964884767315,
MANAO,42550.17941,53.5802,794.1399884658888,
TAGURr,28666.34973,54.8083,523.0293537657618,
PGLYCP,10590.84588,27.3892,386.6796357688431,
GLXCL,50871.83922,129.4635,392.9434877011667,
TARTD,40271.4679,110.82600000000001,363.3756329742119,
GLCRAL,24765.1176,164.305,150.72650010650923,
KAS14_num1,9362.983381,85.2266,109.85987216432429,
KAS14_num2,9362.983381,86.0915,108.75618825319573,
EDTXS1,12691.75649,35.4068,358.45533880497527,
EDTXS2,22707.38756,37.4104,606.9806139469238,
EDTXS3,16672.68023,35.4934,469.7402962240868,
EDTXS4,63673.51745,37.4104,1702.0271755982294,
NNDPR,1656.0,65.5241,25.27314377458065,
HACD4_num1,38552.38416,159.1878,242.18177624164662,
HACD4_num2,38552.38416,77.0722,500.2112844838996,
HACD7_num1,34363.09202,77.0722,445.8558600896302,
HACD7_num2,34363.09202,159.1878,215.86511039162545,
AACPS1,9300.085484,89.3395,104.0982486358218,
SDPDS,1540800.0,82.538,18667.7651505973,
DMSOR1_num1,51527.57551,233.0425,221.10806187712544,
DMSOR1_num2,51527.57551,144.0938,357.59745048017334,
DKGLCNR2y,17120.400569999998,70.791,241.84431029368145,
2DGULRy,19562.416230000006,70.791,276.3404420053397,
RZ5PP,14207.16538,23.3085,609.527227406311,
NTD9_num1,9725.196348,20.255,480.13805717106897,
NTD9_num2,9725.196348,26.9004,361.526086898336,
NTD9_num3,9725.196348,25.399,382.8968206622308,
NTD9_num4,9725.196348,27.163,358.0310108603616,
NTD10,9327.137796,26.9004,346.7285912477137,
ADPT,10116.3237,39.7178,254.70503653273846,
ADK1,111600.0,23.586,4731.62045281099,
OCTDPS,1080.0,70.4339,15.33352547565874,
AACPS2,9300.082612,89.3395,104.09821648878716,
AACPS3,20818.49733,89.3395,233.0267947548397,
AACPS4,19801.47101,89.3395,221.64295759434518,
AMANK,18940.18921,29.6439,638.9236642277164,
ACNML,22534.19094,130.3739,172.84280780125468,
CAT_num1,190740.2702,336.6504,566.5826334975392,
CAT_num2,190740.2702,320.0953,595.8858821107339,
SERASr,58615.06414,141.991,412.80830573768753,
DMSOR2,94768.54027,144.0938,657.686453338034,
ACMAMUT,20034.19254,27.9282,717.346357445163,
DDGALK,25598.32552,31.3736,815.9192926536963,
AB6PGH_num1,42497.06141,53.161,799.4029722917177,
AB6PGH_num2,42497.06141,55.3608,767.6381376352944,
AB6PGH_num3,42497.06141,53.935,787.9310542319458,
AMALT1,57278.02975,78.5035,729.6238989344424,
