,kcat_ori,kcat_change,kcat_mw_new,norm_biomass,ori_biomass,new_biomass
G1SAT,0.09,10.34520585,0.11401912275906458,0.8769972144269698,0.006338566767071868,0.7285975333258611
CTPS2,11.0,11.0,0.045549295518032135,0.8769972144269698,0.006469546412313001,0.006469546412154697
PRAIS,10.0,14.00242063,0.18997126001077222,0.8769972144269698,0.006904387183528974,0.009667813339919284
ORPT_reverse,4.988008644,262.62268,5.571830950057284,0.8769972144269698,0.007294051249273182,0.3840376839470217
IMPC_reverse,10.0,23.39098894,0.40801178003530486,0.8769972144269698,0.007330500140494282,0.017146827980407318
AICART,10.0,18.98893786,0.33122628363905304,0.8769972144269698,0.007330500142160912,0.013919892480421248
SADT2,28.456057300000005,28.456057300000005,0.08107436797534726,0.8769972144269698,0.007469332989937718,0.007469332990397103
DHDPRy,14.0,18.08050014,0.15718565598853831,0.8769972144269698,0.007480853505429685,0.009661255203720586
RHCCE,0.003,0.38,0.01957128583347926,0.8769972144269698,0.007863463058094346,0.8769972144269502
CYSTL,4.664485948,34.1,0.3906800467899505,0.8769972144269698,0.007916547615156979,0.05787438887935802
ATPPRT,2.2,16.06117102,0.24067664797537663,0.8769972144269698,0.007933961037299158,0.05792213867535412
G5SD,14.0,17.67040011,0.09898263675483222,0.8769972144269698,0.00808863382820091,0.010209242577685077
HISTD,3.1,46.55976959,0.5048733049087678,0.8769972144269698,0.00808991417529386,0.12150469032347222
NADS1,0.05,9.555888176,0.1559541561224473,0.8769972144269698,0.008167271792217434,0.8769972144269695
HCO3E,9.1,3374976.4710000004,71009.53051327099,0.8769972144269698,0.008305139741992207,0.8769972144269692
ANS,4.868606473,8.582722222000001,0.03752357474004148,0.8769972144269698,0.008537715465180604,0.01505088584512029
LEUTAi,15.02739517,18.55055556,0.21303965243994874,0.8769972144269698,0.008733682489560118,0.010781287138134405
THRD_L,15.84318071,190.85,1.354237624886467,0.8769972144269698,0.008822475174768274,0.10627723169601469
IPPS,10.0,23.10539391,0.4032502746173944,0.8769972144269698,0.008832252223051425,0.020407266672543566
OCBT,12.73120439,3450.0,31.22697576243603,0.8769972144269698,0.008882367641871175,0.8769972144269735
SHSL1,10.0,166.0,0.9987870152874581,0.8769972144269698,0.00891312478450582,0.1479578714227966
