id,kcat
ARABDI_reverse,12.52208789
ACACT2r,12.50778352
ECOAH5,12.506784399999999
PYK3,12.5057328
KDUI,12.50171186
PYNP2r,12.49242503
3NTD2pp,12.45457849
FACOAE180,12.4534274
MLTG2,12.3825855
XYLK2,12.37013539
LDGUNPD,12.36648755
GALKr,12.31755689
EDA,12.31598094
EAR40x,12.27203176
UDPKAAT_reverse,12.25952785
ECOAH3,12.25716324
GLUN,12.14770445
PSCVT_reverse,12.12508125
GLCDpp,12.103278
23PDE9pp,12.09538593
SBTPD_reverse,12.06419443
PPNDH,1890.0
ECOAH1,11.98590682
SPODM,11.98502395
AMALT2,11.98171874
MCTP1App,27.49250419
MICITDr_reverse,11.85682224
MLDEP1pp,11.85582843
MDH2,11.85129023
GTHS,11.84707388
MANAO,11.81949428
AB6PGH,11.80473928
ACOAD1fr,11.79462514
TREHpp,11.77772642
AP5AH,11.7386909
TMAOR2,11.72367479
UMPK,170.7966667
ACACT4r,11.6573739
LDH_D,11.64440035
FRULYSDG,11.56959934
HACD1_reverse,11.56198155
ECOAH4,11.56079773
FE3Ri,11.54654884
NNATr_reverse,11.48591784
LPLIPAL2ATG160,11.43691638
GPDDA2pp,11.43396367
GPDDA4pp,11.42896123
3OAR80_reverse,11.40624819
CU1Opp,11.36115981
MLTG4,11.3495498
ACACT6r,11.28688685
GDPDPK,11.20288304
TARTD,11.18651886
HACD5,11.16922213
FRD3,11.14876269
GARFT_reverse,11.12565211
ACPPAT161,11.11300159
FRD2,11.02928167
HACD2_reverse,11.02858591
DHDPS,124.0
ARGSL,230.47744440000002
CTPS2,11.0
HACD3,10.99818089
HCYSMT,10.98404096
PGPP120pp,10.97279327
3NTD9pp,10.96377223
MAN6PI,10.96170388
6D6SPA,10.95626665
CRNCDH,10.95447777
PPK2,10.84389738
HACD2,10.84309504
ECOAH3_reverse,10.82819378
APG3PAT140,10.80176685
ASCBPL,10.79076543
HACD1,10.77239398
ABUTD,10.75112363
DHORD5,10.7381039
PSD120,10.73651899
MCITL2,10.72467239
HACD4,10.7089956
PRMICI_reverse,10.69088608
FCI,10.68312115
INSK,10.67403887
HKNDDH,10.65655028
AGMHE,10.65177626
DURADx,10.6308634
MLDCP1Bpp,10.61323208
PHYTSpp,10.6107535
ADA,10.59945335
G1SAT_reverse,10.59586604
ARAI_reverse,10.53428759
DXYLK,10.48583671
AGM4Pt2pp,10.46613643
OMBZLM,10.46260389
MCITD,10.40497629
GPDDA1pp,10.40266697
BGLA1,10.39058949
FORCT,10.37507599
4PCPpp,10.35827099
DHORTS,10.35162051
DSBDR,10.33359618
XYLI2,10.32392297
DADA,10.31586114
DHMPTR,10.30562004
CBMKr,10.291331900000001
ECOAH7,10.28350892
ACACT3r_reverse,10.26667017
ALR2x,10.26578375
ULA4Ntppi,10.24053668
HACD3_reverse,10.22618451
PAPA120,10.22361202
GPDDA3pp,10.19613003
GHMT2r_reverse,10.17780726
ACPPAT141,10.16862055
ECOAH6,10.16499458
GLYCL,10.15064261
ACACT7r,10.10826286
PTRCTA,10.03494286
INSH,10.03087639
MOADSUx,10.01182148
PGAMT,10.00985386
TRDR,10.00678913
SHSL1,166.0
KDOPP,34.80323389
IMPC_reverse,23.39098894
IPPS,23.10539391
AICART,18.98893786
ADSL1r,123.31
PRAIS,14.00242063
PRMICI,12.25357851
ORNDC,9.929259783
TRPS3,9.927752005
ACACT5r_reverse,9.861588365
HPPPNDO,9.85891683
3HAD60,9.831729115
ACACT3r,9.831718468
MCITS,9.79026087
PRCPD,9.777971328
DSBCGT,9.749504697999999
AGMT,9.707804787999999
RMI,9.691381993
GUI2,9.679179662000001
ASPCT,417.0
RNTR3c2,9.632539186
FA160ACPHi,9.631425669
G1PPpp,9.611267355
ACACT4r_reverse,9.598577007000001
NODOx,9.594578882
CINNDO,9.592177034
UACMAMO,9.587981433
ECOAH4_reverse,9.55276248
HACD7,9.545303339
FBA_reverse,9.535092534
AGMt2pp,9.49592118
AGM4PCPpp,9.473615716
NDP3,9.472630686
RHAT1,9.44511707
DAPAL,9.426004076
RMK,9.420268443
MALTATr,9.404854128
ABTA,9.403881525
NDP7,9.367113716
2AGPEAT140,9.362465558
CDAPPA160,9.308723783
CLPNS160pp,9.30127688
QMO3,9.291055768
A5PISO_reverse,9.216719552
MDDEP3pp,9.197662833999999
PAPA140,9.168376737
PAPSR,9.152869436
FDH4pp,9.126110415
HCO3E,3374976.4710000004
PUNP7_reverse,9.084258964
ACOTA_reverse,12.10379399
S7PI,9.037410334
AMAOTr_reverse,9.034267024
DMSOR1pp,9.010367153999999
PPM_reverse,9.006458972
SPMDAT1,9.000458571
UPLA4FNT,8.995668078
CDAPPA181,8.981275881
CHOLD,8.980995234
CLPNS141pp,8.970855033
IG3PS,13.73405688
3SLAR,8.934188811
ACOATA,8.930385847
AMALT4,8.896924698
ACS,8.896892036
PHDA,8.895889017
DURIPP,8.86673122
CDAPPA120,8.861246596
ADNCYC,8.844011266
GLDBRAN2,8.80450904
VALTA_reverse,8.8
MLTGY1pp,8.799322183
HACD4_reverse,8.768110564
NNDMBRT,8.765858788
HEX7,8.758599592000001
HACD6,8.746473264
SQGH,8.718471026
TRE6PH,8.713354017999999
TGBPA,8.711879967
4ABZGLUH_reverse,8.674030069
ECOAH5_reverse,8.65628836
PHETA1_reverse,176.6586667
SSALy,8.563868875
LALDO2x,8.55778994
COLIPAKpp,8.545413742000001
NTP5,8.519864733
TEO2M,8.490210487
THFAT,8.485229017
NADPHQR3,8.480081447
HXCT,8.470446699999998
TMDPP,8.466389062000001
ACACT8r_reverse,8.442715508
ICDHyr_reverse,8.435784117
LA4NTpp,8.42641922
ACGK,63.46666667
HACD8,8.383681576
AICART_reverse,8.369414507
RNTR2c2,8.364206797000001
F1PP,8.362900571
SCYSDS,8.350280733
CDAPPA141,8.34998445
INOSTO,8.34160632
MDDEP1pp,8.338995281
ACACT6r_reverse,8.327861479
PPK,8.321815952
FDH5pp,8.311824015
ASAD,8.310371781
MLDEP2pp,8.30425422
PSERT,8.3
CTECOAI8,8.295056557
GLYCK,8.271076689
AMPTASEPG,8.225602666
3HBZCT,8.222498982000001
SHK3Dr_reverse,8.19567356
G3PD6,8.188403676
PGMT_reverse,8.16873868
PYDXPP,8.158306567
3HPADHi,8.158080867
FALDH2,8.143686682
NTPP1,8.116131574
PERD_reverse,8.093044151
CTECOAI6_reverse,8.091147121
BWCOGDS2,8.073631815
HYD3pp,8.057213908
PMANM,8.05142132
HACD6_reverse,8.023833112
CDPPH,8.015378973999999
PRPPS,8.0
UAAGDS,9.441469603
HSST,19.02222222
MTHFD_reverse,7.9989686970000005
NTD2pp,7.984094901000001
PFK_2,7.980547402999999
TAGURr,7.9628749260000005
DHNAOT4,7.955212207000001
LPLIPAL2ATG161,7.935939100000001
ACCOAC,11.613
GPDDA5pp,7.9307118370000005
HACD5_reverse,7.928852254
AHGDx_reverse,7.927823352000001
CYTBD2pp,7.910197436
PSD161,19.1008352
2DDARAA,7.895061087
ALLULPE,7.888325729
INOSTO_reverse,7.883604419
ATHRDHr_reverse,7.872203335
FACOAE181,7.8604828520000005
NTPTP1,7.833306079
RHMND,7.811098202999999
SGSAD,7.810615017000001
O16GLCT1,7.788198712000001
ALPATG160pp,7.755166297000001
UMPK_reverse,7.726058677
GK1_reverse,7.718210394
RNDR2b,7.704169362999999
NADPHQR2,7.700291995
4PCP,7.696160637999999
PYK2,7.689127468
CYSDDS,7.680928826000001
PPDOy,7.669418239
ADK4_reverse,7.662254292999999
SERD_D,7.640870368
DAAD,7.631395488
BMOGDS1,7.59385968
GALS3,7.58729379
CLPNS120pp,7.583800934
MLTP2,7.567600962999999
CBLAT_reverse,7.55104374
2HESR,7.544371859
LPLIPAL2ATE160,7.541901845
AGPR,7.53908693
TDPADGAT,7.538186811
ACACCT,7.534371915
GALKr_reverse,7.526071222000001
METNA_reverse,7.5238820639999995
NTP1,7.507590727
SDPTA_reverse,24.0
GLCP,7.475499864
TDSK,8.774266577999999
GNK,7.43193709
PPM2_reverse,7.427986082
FRULYSK,7.409498423
ACACT7r_reverse,7.403691791
TMDS,7.4
MDDCP3pp,7.391410897999999
FRULYSE_reverse,7.364373045
MDDCP2pp,7.36104964
RBK_L1,7.355245697000001
PSD141,7.344732512
TRE6PS,7.341714707
MLTGY3pp,7.336513878
AMALT3,7.3328042
TMAOR1pp,7.323650035
G2PPpp,7.319650105
MDDEP4pp,7.313333315
LYSAM,7.311612498
DHNCOAS,7.294069256
OP4ENH,7.2703289710000005
3PEPTabcpp,7.245176428
FEOXAMR1,7.244423187000001
GLTPD_reverse,7.226329744
HEPK2,7.2252394529999995
2AGPGAT140,7.223567853
2AGPGAT181,7.220602242999999
CLPNS140pp_reverse,7.208956038999999
AMANAPEr,7.205564071
LADGMDH,7.205189132999999
RMPA,7.1993172229999995
OXDHCOAT,7.197321366000001
GTHOr,7.194893372999999
4HTHRK,7.175889647000001
DDPGALA,7.172701246
BWCOGDS1,7.164072987999999
DHPTDNRN,7.156859373
NDPK4_reverse,7.153197147
CYTK2,7.152806032000001
NTPP10,7.144278961
LIPATPT,7.135564622
APG3PAT141,7.117679344
LYSAM_reverse,7.1127834739999996
DDGALK,7.110645979
SUCBZS,7.09388517
PAPSR2,7.072291115
AMMQLT8,7.05766226
LPLIPAL2A161,7.057229336
ECOAH7_reverse,6.991997381
CXSAMS,6.976795589
S2FE2SS2,6.974926807
PEAMNOpp,6.972215531
NTD4,6.963519765
NTP3,6.912739172999999
DC6PDA,6.907877789
XYLK,6.889304943
GLCRAL,6.879199332000001
ICHORS_copy2,6.876059005
GLUCYS,6.8719558439999995
MICITDr,6.871070066000001
MLTP1,6.856765816
TDPGDH,6.855028891
FCLPA,6.846889825
NDPK2,6.833928374
QMO2,6.83356755
ECOAH8_reverse,6.813992527999999
M1PD_reverse,6.803226267
